,model,dataset,gpu_num,batchsize,amp,speed,gpu_util,gmem_util,gmem,time
62,bert,SQUAD,1,32,0,84.872,99.689,62.484,20162,458.2359841
63,bert,SQUAD,1,32,1,119.911,99.593,74.23,16334,439.2556071
4,resnet50,imagenet,1,128,0,465.651,100,86.927,13326,90.7670207
57,NeuMF-pre,MovieLens ,1,128,1,23040.359,9.643,1.983,2050,68.44213581
55,NeuMF-pre,MovieLens ,1,64,1,12173.612,9.836,2.009,2050,66.33774424
56,NeuMF-pre,MovieLens ,1,128,0,29773.989,10.483,2.011,2050,59.29373693
54,NeuMF-pre,MovieLens ,1,64,0,15393.307,10.483,2.023,2050,58.37113547
5,resnet50,imagenet,1,128,1,765.473,99.66,75.566,7992,57.15410638
2,resnet50,imagenet,1,64,0,435.943,100,80.899,8570,50.59369659
65,transformer,multi30k,1,64,0,857.9,75.164,31.806,11801.104,34.31289244
3,resnet50,imagenet,1,64,1,708.822,97.735,72.518,5376,33.44628572
40,pointnet,shapenet,1,128,0,140.209,8.982,7.589,10474,32.98866153
41,pointnet,shapenet,1,128,1,144.304,5.551,4.878,6976,32.53232622
64,transformer,multi30k,1,32,0,464.423,53.645,17.258,11949.258,31.40032887
0,resnet50,imagenet,1,32,0,432.563,100,80.754,5518,27.88794875
52,TD3,BipedalWalker-v3,1,64,0,4520.963,12.659,0,2034,26.97797608
53,TD3,BipedalWalker-v3,1,128,0,11243.57,13.424,0,2034,24.55229235
51,TD3,BipedalWalker-v3,1,32,0,2973.371,12.677,0,2034,23.34784532
1,resnet50,imagenet,1,32,1,670.679,95.864,67.568,3838,19.6086123
38,pointnet,shapenet,1,64,0,138.049,7.75,6.571,6346,18.76345873
39,pointnet,shapenet,1,64,1,135.349,6.24,5.32,4532,18.57354569
60,LSTM,Wikitext2,1,128,0,3951.755,76.2,63.75,5616,17.32947016
61,LSTM,Wikitext2,1,128,1,4440.872,63.706,55.824,5320,16.85331368
10,mobilenet_v3_small,imagenet,1,128,0,3353.137,100,60.912,4428,16.22679472
11,mobilenet_v3_small,imagenet,1,128,1,3482.526,86.121,33.939,3216,15.90317011
9,mobilenet_v3_small,imagenet,1,64,1,1908.093,52.355,18.065,2706,14.73717666
48,PPO,LunarLander-v2,1,32,0,5507.808,12.588,0,2026,14.48410583
7,mobilenet_v3_small,imagenet,1,32,1,978.255,34.966,7.931,2382,14.20157337
58,LSTM,Wikitext2,1,64,0,4496.071,97,74.875,3884,13.38286114
59,LSTM,Wikitext2,1,64,1,4495.889,73.625,60,3750,13.38004971
8,mobilenet_v3_small,imagenet,1,64,0,2537.436,80.522,44.261,3266,12.06205058
36,pointnet,shapenet,1,32,0,131.491,11.533,9.667,3968,11.94642353
37,pointnet,shapenet,1,32,1,136.02,7,5.615,3334,11.51221681
49,PPO,LunarLander-v2,1,64,0,14786.588,11.75,0,2026,11.49884152
6,mobilenet_v3_small,imagenet,1,32,0,1304.503,45.409,19.727,2694,11.40211821
50,PPO,LunarLander-v2,1,128,0,49733.603,15.286,0,2026,9.795334101
46,dcgan,LSUN,1,128,0,4659.802,94,41,3096,9.754059553
47,dcgan,LSUN,1,128,1,6097.188,66.333,32.417,2684,8.595448971
43,dcgan,LSUN,1,32,1,1561.581,34.9,11.8,2730,8.537162304
45,dcgan,LSUN,1,64,1,2936.807,47.5,17.167,2330,8.413001299
44,dcgan,LSUN,1,64,0,3275.832,72.9,31,2322,8.354620695
23,MobileNetV2,cifar10,1,128,1,2866.76,55.714,28.286,2992,8.224986076
29,EfficientNetB0,cifar10,1,128,1,2802.744,33.571,7.286,2358,7.867577076
42,dcgan,LSUN,1,32,0,1986.707,57.778,20.222,2458,7.693737984
25,EfficientNetB0,cifar10,1,32,1,680.977,20.571,1.286,2176,7.683374882
27,EfficientNetB0,cifar10,1,64,1,1371.123,25.5,3.167,2290,7.552798748
21,MobileNetV2,cifar10,1,64,1,1710.877,41.833,16.167,2528,7.54024601
24,EfficientNetB0,cifar10,1,32,0,814.137,24.5,3,2308,7.475263357
28,EfficientNetB0,cifar10,1,128,0,3465.072,44.833,16.167,2580,7.308001757
22,MobileNetV2,cifar10,1,128,0,3516.037,98.833,65.333,4078,6.977195024
16,ResNet18,cifar10,1,128,0,4903.86,96.25,67,3072,6.963322878
19,MobileNetV2,cifar10,1,32,1,895.251,28.833,7.333,2320,6.845676899
26,EfficientNetB0,cifar10,1,64,0,1922.826,35.4,8,2766,6.660982847
18,MobileNetV2,cifar10,1,32,0,1108.427,42.8,17,2508,6.659705639
20,MobileNetV2,cifar10,1,64,0,2228.976,69.5,39.5,3010,6.292340994
17,ResNet18,cifar10,1,128,1,5699.482,78,43.667,4036,6.235733747
34,VGG,cifar10,1,128,0,7260.35,50.5,34,3990,6.226061821
12,ResNet18,cifar10,1,32,0,1763.905,58.667,25,2360,6.197543383
35,VGG,cifar10,1,128,1,7009.529,43.667,22.333,2666,6.064184904
13,ResNet18,cifar10,1,32,1,1649.038,40.667,20.333,2330,6.062929392
14,ResNet18,cifar10,1,64,0,3711.999,80.667,47,2660,5.707552671
30,VGG,cifar10,1,32,0,2998.72,44,23,3386,5.695986748
31,VGG,cifar10,1,32,1,3556.88,48,19,2762,5.67589283
33,VGG,cifar10,1,64,1,5112.546,34,16.5,3588,5.671189785
15,ResNet18,cifar10,1,64,1,4038.576,62,34,3642,5.647451401
32,VGG,cifar10,1,64,0,7430.143,51,30,3584,5.329251289
