,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
650,EfficientNet,CIFAR-10,1,32,0,1.064,PointNet,ShapeNet,1,32,0,0.945,34.387,10.227,6298,34.135
1339,EfficientNet,CIFAR-10,1,32,1,1.089,TD3,BipedalWalker,1,128,0,1,31.349,1.921,4230,34.905
664,EfficientNet,CIFAR-10,1,64,1,1.074,PointNet,ShapeNet,1,32,0,0.989,42.907,15.613,6416,35.204
1337,EfficientNet,CIFAR-10,1,32,1,1.066,TD3,BipedalWalker,1,64,0,1,33.137,2.02,4230,35.306
654,EfficientNet,CIFAR-10,1,32,0,1.076,PointNet,ShapeNet,1,64,0,0.94,37.324,13.873,8676,35.5445
625,MobileNetV2,CIFAR-10,1,32,1,1.045,PointNet,ShapeNet,1,128,1,0.935,33.362,12.983,9318,35.5515
617,MobileNetV2,CIFAR-10,1,32,1,1.082,PointNet,ShapeNet,1,32,1,0.957,41.434,14.487,5716,35.6925
468,EfficientNet,CIFAR-10,1,32,1,1.007,PPO,LunarLander,1,128,0,1,30.026,1.269,4222,36.051
658,EfficientNet,CIFAR-10,1,32,0,0.989,PointNet,ShapeNet,1,128,0,0.931,33.382,12.727,12804,36.2175
621,MobileNetV2,CIFAR-10,1,32,1,1.05,PointNet,ShapeNet,1,64,1,1.008,38.648,13.732,6874,36.2255
668,EfficientNet,CIFAR-10,1,64,1,0.988,PointNet,ShapeNet,1,64,0,0.984,34.417,12.347,8658,36.6135
465,EfficientNet,CIFAR-10,1,32,0,0.969,PPO,LunarLander,1,64,0,1,33.164,2.493,4356,37.17
672,EfficientNet,CIFAR-10,1,64,1,1.016,PointNet,ShapeNet,1,128,0,0.971,35.153,12.661,12786,37.2865
463,EfficientNet,CIFAR-10,1,32,0,0.95,PPO,LunarLander,1,32,0,1,32.929,2.486,4356,37.7415
1334,EfficientNet,CIFAR-10,1,32,0,1.032,TD3,BipedalWalker,1,32,0,1,27.875,2,4364,37.7555
472,EfficientNet,CIFAR-10,1,64,1,1.021,PPO,LunarLander,1,64,0,1,36.783,3.246,4338,38.239
616,MobileNetV2,CIFAR-10,1,32,1,0.998,PointNet,ShapeNet,1,32,0,0.965,40.933,18.067,6310,38.37
470,EfficientNet,CIFAR-10,1,64,1,0.949,PPO,LunarLander,1,32,0,1,34.294,2.971,4338,38.8105
1341,EfficientNet,CIFAR-10,1,64,1,0.992,TD3,BipedalWalker,1,32,0,1,34.635,3.462,4346,38.8245
1338,EfficientNet,CIFAR-10,1,32,0,0.983,TD3,BipedalWalker,1,128,0,1,35.021,3,4364,38.9175
1336,EfficientNet,CIFAR-10,1,32,0,0.956,TD3,BipedalWalker,1,64,0,1,35.459,3.162,4364,39.3185
620,MobileNetV2,CIFAR-10,1,32,1,1.03,PointNet,ShapeNet,1,64,0,0.929,37.768,15.391,8688,39.7795
171,PointNet,ShapeNet,1,128,1,0.875,DCGAN,LSUN,1,32,1,1.329,45.333,19.86,9728,39.8125
147,PointNet,ShapeNet,1,32,1,0.986,DCGAN,LSUN,1,32,1,1.189,44.219,19.507,6086,39.9535
1345,EfficientNet,CIFAR-10,1,64,1,1.012,TD3,BipedalWalker,1,128,0,1,36.212,3.923,4346,39.9865
467,EfficientNet,CIFAR-10,1,32,0,1.006,PPO,LunarLander,1,128,0,1,35.315,2.849,4356,40.0635
671,EfficientNet,CIFAR-10,1,64,0,0.952,PointNet,ShapeNet,1,128,1,0.871,35.621,11.897,9764,40.072
663,EfficientNet,CIFAR-10,1,64,0,0.963,PointNet,ShapeNet,1,32,1,0.905,37.392,12.419,6122,40.213
1343,EfficientNet,CIFAR-10,1,64,1,0.962,TD3,BipedalWalker,1,64,0,1,31.218,2.927,4346,40.3875
624,MobileNetV2,CIFAR-10,1,32,1,0.989,PointNet,ShapeNet,1,128,0,0.945,33.617,12.85,12816,40.4525
159,PointNet,ShapeNet,1,64,1,0.985,DCGAN,LSUN,1,32,1,1.157,44.554,18.919,7284,40.4865
709,VGG,CIFAR-10,1,64,1,1.303,PointNet,ShapeNet,1,128,1,0.961,48.429,26.857,9254,40.6355
1183,MobileNetV3,ImageNet,1,32,1,1.014,PointNet,ShapeNet,1,128,1,0.953,6.231,5.5,7001,40.7045
667,EfficientNet,CIFAR-10,1,64,0,0.978,PointNet,ShapeNet,1,64,1,0.942,36.606,12.042,7320,40.746
701,VGG,CIFAR-10,1,64,1,1.157,PointNet,ShapeNet,1,32,1,0.968,67.108,30.811,6758,40.7765
1175,MobileNetV3,ImageNet,1,32,1,1.081,PointNet,ShapeNet,1,32,1,0.967,14.284,8.104,5790,40.8455
685,EfficientNet,CIFAR-10,1,128,1,0.967,PointNet,ShapeNet,1,128,1,0.902,36.5,11.403,9356,41.1145
474,EfficientNet,CIFAR-10,1,64,1,0.919,PPO,LunarLander,1,128,0,1,33.662,2.915,4338,41.1325
677,EfficientNet,CIFAR-10,1,128,1,1.054,PointNet,ShapeNet,1,32,1,0.982,44.577,14.269,5714,41.2555
705,VGG,CIFAR-10,1,64,1,1.136,PointNet,ShapeNet,1,64,1,0.987,44.071,24.343,8142,41.3095
1179,MobileNetV3,ImageNet,1,32,1,1.04,PointNet,ShapeNet,1,64,1,0.966,9.41,6.23,6960,41.3785
448,MobileNetV2,CIFAR-10,1,32,1,0.911,PPO,LunarLander,1,64,0,1,35.232,5.971,4368,41.405
681,EfficientNet,CIFAR-10,1,128,1,0.984,PointNet,ShapeNet,1,64,1,0.982,40.887,13.352,6912,41.7885
446,MobileNetV2,CIFAR-10,1,32,1,0.975,PPO,LunarLander,1,32,0,1,36.662,6.324,4368,41.9765
1317,MobileNetV2,CIFAR-10,1,32,1,0.976,TD3,BipedalWalker,1,32,0,1,33.19,5.81,4376,41.9905
589,ResNet18,CIFAR-10,1,32,1,1.175,PointNet,ShapeNet,1,128,1,0.9,43.088,24.912,9328,42.219
964,EfficientNet,CIFAR-10,1,32,1,0.961,EfficientNet,CIFAR-10,1,32,1,1.003,39.208,3.361,4374,42.283
581,ResNet18,CIFAR-10,1,32,1,1.191,PointNet,ShapeNet,1,32,1,0.925,56.013,28.8,5844,42.36
145,PointNet,ShapeNet,1,32,0,1.005,DCGAN,LSUN,1,32,1,1.17,48.145,22.211,6720,42.631
662,EfficientNet,CIFAR-10,1,64,0,0.97,PointNet,ShapeNet,1,32,0,0.982,41.919,15.041,6756,42.8905
585,ResNet18,CIFAR-10,1,32,1,1.284,PointNet,ShapeNet,1,64,1,0.897,48.239,26.676,6884,42.893
1321,MobileNetV2,CIFAR-10,1,32,1,0.953,TD3,BipedalWalker,1,128,0,1,34.833,6.536,4376,43.1525
700,VGG,CIFAR-10,1,64,1,1.113,PointNet,ShapeNet,1,32,0,1.013,51.307,29.76,7578,43.454
1174,MobileNetV3,ImageNet,1,32,1,1.05,PointNet,ShapeNet,1,32,0,0.983,19.971,12.971,6396,43.523
1319,MobileNetV2,CIFAR-10,1,32,1,0.976,TD3,BipedalWalker,1,64,0,1,36.226,6.981,4376,43.5535
676,EfficientNet,CIFAR-10,1,128,1,0.957,PointNet,ShapeNet,1,32,0,1.032,45.797,15.554,7240,43.933
157,PointNet,ShapeNet,1,64,0,0.977,DCGAN,LSUN,1,32,1,1.12,45.458,21.278,9098,44.0405
450,MobileNetV2,CIFAR-10,1,32,1,0.966,PPO,LunarLander,1,128,0,1,35.432,6.27,4368,44.2985
666,EfficientNet,CIFAR-10,1,64,0,0.996,PointNet,ShapeNet,1,64,0,1,42.431,16.028,9134,44.3
169,PointNet,ShapeNet,1,128,0,0.926,DCGAN,LSUN,1,32,1,1.229,46.839,21.268,13226,44.7135
697,VGG,CIFAR-10,1,32,1,1.152,PointNet,ShapeNet,1,128,1,0.853,41.559,22.881,9760,44.827
704,VGG,CIFAR-10,1,64,1,1.115,PointNet,ShapeNet,1,64,0,0.996,48.7,27.829,9956,44.8635
1178,MobileNetV3,ImageNet,1,32,1,1.035,PointNet,ShapeNet,1,64,0,0.997,12.742,8.409,8802,44.9325
689,VGG,CIFAR-10,1,32,1,1.065,PointNet,ShapeNet,1,32,1,0.93,41.293,22.307,6118,44.968
670,EfficientNet,CIFAR-10,1,64,0,0.885,PointNet,ShapeNet,1,128,0,0.916,36.323,15.21,14826,44.973
580,ResNet18,CIFAR-10,1,32,1,1.185,PointNet,ShapeNet,1,32,0,0.964,52.779,29.649,6320,45.0375
680,EfficientNet,CIFAR-10,1,128,1,0.961,PointNet,ShapeNet,1,64,0,0.968,43.767,16.438,9630,45.3425
693,VGG,CIFAR-10,1,32,1,1.17,PointNet,ShapeNet,1,64,1,0.941,42.563,23.155,7316,45.501
708,VGG,CIFAR-10,1,64,1,1.085,PointNet,ShapeNet,1,128,0,0.951,42.823,24.919,14084,45.5365
1182,MobileNetV3,ImageNet,1,32,1,1.018,PointNet,ShapeNet,1,128,0,0.955,8.111,6.778,10499,45.6055
725,DCGAN,LSUN,1,32,1,0.963,PPO,LunarLander,1,64,0,1,38.194,10.836,4778,45.666
471,EfficientNet,CIFAR-10,1,64,0,0.969,PPO,LunarLander,1,64,0,1,37.909,6.325,4814,45.9255
684,EfficientNet,CIFAR-10,1,128,1,1.01,PointNet,ShapeNet,1,128,0,0.926,42.113,15.935,12854,46.0155
723,DCGAN,LSUN,1,32,1,0.999,PPO,LunarLander,1,32,0,1,36.451,9.746,4778,46.2375
500,DCGAN,LSUN,1,32,1,0.96,TD3,BipedalWalker,1,32,0,1,39.77,11.878,4786,46.2515
963,EfficientNet,CIFAR-10,1,32,0,0.98,EfficientNet,CIFAR-10,1,32,1,1,42.11,4.466,4506,46.2955
584,ResNet18,CIFAR-10,1,32,1,1.241,PointNet,ShapeNet,1,64,0,0.932,52.904,30.63,8698,46.447
490,VGG,CIFAR-10,1,64,1,0.964,PPO,LunarLander,1,64,0,1,38.234,14.39,5636,46.489
469,EfficientNet,CIFAR-10,1,64,0,0.868,PPO,LunarLander,1,32,0,1,35.247,5.219,4814,46.497
1340,EfficientNet,CIFAR-10,1,64,0,0.913,TD3,BipedalWalker,1,32,0,1,31.243,4.771,4822,46.511
412,MobileNetV3,ImageNet,1,32,1,1.035,PPO,LunarLander,1,64,0,1,16.324,1.068,4430,46.558
623,MobileNetV2,CIFAR-10,1,32,0,1.105,PointNet,ShapeNet,1,128,1,0.929,48.579,22.807,9506,46.5895
615,MobileNetV2,CIFAR-10,1,32,0,1.052,PointNet,ShapeNet,1,32,1,0.968,51.213,24.173,6084,46.7305
695,VGG,CIFAR-10,1,32,0,1.177,PointNet,ShapeNet,1,128,1,0.933,44.667,26.333,10384,46.949
478,EfficientNet,CIFAR-10,1,128,1,0.925,PPO,LunarLander,1,64,0,1,36,6.025,5308,46.968
488,VGG,CIFAR-10,1,64,1,1.02,PPO,LunarLander,1,32,0,1,37.32,14.827,5636,47.0605
1359,VGG,CIFAR-10,1,64,1,1.031,TD3,BipedalWalker,1,32,0,1,42.8,17.933,5644,47.0745
687,VGG,CIFAR-10,1,32,0,1.311,PointNet,ShapeNet,1,32,1,0.923,64.961,33.632,6900,47.09
588,ResNet18,CIFAR-10,1,32,1,1.108,PointNet,ShapeNet,1,128,0,0.945,42.083,24.767,12826,47.12
410,MobileNetV3,ImageNet,1,32,1,1.106,PPO,LunarLander,1,32,0,1,15.507,0.565,4396,47.1295
1371,MobileNetV3,ImageNet,1,32,1,0.989,TD3,BipedalWalker,1,32,0,1,17.375,1.569,4462,47.1435
619,MobileNetV2,CIFAR-10,1,32,0,1.08,PointNet,ShapeNet,1,64,1,0.97,48.338,22.056,7062,47.2635
968,EfficientNet,CIFAR-10,1,32,1,1.034,EfficientNet,CIFAR-10,1,64,1,0.988,42.507,5.068,4488,47.3645
504,DCGAN,LSUN,1,32,1,1.019,TD3,BipedalWalker,1,128,0,1,37.904,11.173,4786,47.4135
476,EfficientNet,CIFAR-10,1,128,1,0.891,PPO,LunarLander,1,32,0,1,38.886,6.086,5298,47.5395
1347,EfficientNet,CIFAR-10,1,128,1,0.977,TD3,BipedalWalker,1,32,0,1,40.518,7.143,5304,47.5535
691,VGG,CIFAR-10,1,32,0,1.334,PointNet,ShapeNet,1,64,1,0.911,54.139,32.25,7942,47.623
688,VGG,CIFAR-10,1,32,1,1.026,PointNet,ShapeNet,1,32,0,0.964,56.347,29.987,6752,47.6455
1344,EfficientNet,CIFAR-10,1,64,0,0.939,TD3,BipedalWalker,1,128,0,1,30.924,4.696,4822,47.673
502,DCGAN,LSUN,1,32,1,1.084,TD3,BipedalWalker,1,64,0,1,38.74,11.38,5378,47.8145
637,MobileNetV2,CIFAR-10,1,64,1,1.056,PointNet,ShapeNet,1,128,1,0.884,47.19,21.414,9560,47.9725
430,ResNet18,CIFAR-10,1,32,1,0.97,PPO,LunarLander,1,64,0,1,38.314,15.571,4378,48.0725
1342,EfficientNet,CIFAR-10,1,64,0,0.962,TD3,BipedalWalker,1,64,0,1,40.286,7.107,4822,48.074
629,MobileNetV2,CIFAR-10,1,64,1,1.047,PointNet,ShapeNet,1,32,1,0.98,49.75,22.197,5884,48.1135
1363,VGG,CIFAR-10,1,64,1,1.125,TD3,BipedalWalker,1,128,0,1,47.823,20.734,5644,48.2365
1375,MobileNetV3,ImageNet,1,32,1,1.083,TD3,BipedalWalker,1,128,0,1,12.947,0,2059,48.3055
721,VGG,CIFAR-10,1,128,1,1.111,PointNet,ShapeNet,1,128,1,0.942,42.361,24.246,9548,48.325
713,VGG,CIFAR-10,1,128,1,1.169,PointNet,ShapeNet,1,32,1,0.988,55.493,29.726,7298,48.466
727,DCGAN,LSUN,1,32,1,1.15,PPO,LunarLander,1,128,0,1,45.616,12.795,4778,48.5595
1361,VGG,CIFAR-10,1,64,1,1.04,TD3,BipedalWalker,1,64,0,1,41.135,16.904,5644,48.6375
428,ResNet18,CIFAR-10,1,32,1,0.963,PPO,LunarLander,1,32,0,1,37.551,14.246,4378,48.644
633,MobileNetV2,CIFAR-10,1,64,1,1.004,PointNet,ShapeNet,1,64,1,0.977,46.239,20.789,7116,48.6465
1299,ResNet18,CIFAR-10,1,32,1,1.084,TD3,BipedalWalker,1,32,0,1,32.32,11.013,4386,48.658
1373,MobileNetV3,ImageNet,1,32,1,1.135,TD3,BipedalWalker,1,64,0,1,13.939,0,2059,48.7065
1351,EfficientNet,CIFAR-10,1,128,1,0.972,TD3,BipedalWalker,1,128,0,1,39.722,6.815,4414,48.7155
473,EfficientNet,CIFAR-10,1,64,0,0.87,PPO,LunarLander,1,128,0,1,38.657,6.071,4814,48.819
717,VGG,CIFAR-10,1,128,1,1.199,PointNet,ShapeNet,1,64,1,0.983,50.971,29.333,7220,48.999
692,VGG,CIFAR-10,1,32,1,1.101,PointNet,ShapeNet,1,64,0,0.949,45.873,26.493,9130,49.055
1349,EfficientNet,CIFAR-10,1,128,1,0.977,TD3,BipedalWalker,1,64,0,1,40.192,7.192,5320,49.1165
492,VGG,CIFAR-10,1,64,1,1.02,PPO,LunarLander,1,128,0,1,39.291,15.076,5636,49.3825
614,MobileNetV2,CIFAR-10,1,32,0,1.085,PointNet,ShapeNet,1,32,0,0.943,52.905,24.378,6498,49.408
414,MobileNetV3,ImageNet,1,32,1,1.07,PPO,LunarLander,1,128,0,1,18.628,1.231,4454,49.4515
696,VGG,CIFAR-10,1,32,1,1.097,PointNet,ShapeNet,1,128,0,0.898,46.621,27.155,13258,49.728
686,VGG,CIFAR-10,1,32,0,1.151,PointNet,ShapeNet,1,32,0,0.984,53.714,30.532,7376,49.7675
1303,ResNet18,CIFAR-10,1,32,1,0.989,TD3,BipedalWalker,1,128,0,1,38.537,15.574,4386,49.82
480,EfficientNet,CIFAR-10,1,128,1,1.037,PPO,LunarLander,1,128,0,1,44.812,7.225,5312,49.8615
1301,ResNet18,CIFAR-10,1,32,1,1.008,TD3,BipedalWalker,1,64,0,1,31.478,11.304,4386,50.221
962,EfficientNet,CIFAR-10,1,32,0,0.904,EfficientNet,CIFAR-10,1,32,0,0.911,41.764,6.583,4638,50.308
893,MobileNetV2,CIFAR-10,1,32,1,0.875,EfficientNet,CIFAR-10,1,32,1,0.983,41.533,8.213,4518,50.5305
484,VGG,CIFAR-10,1,32,1,0.847,PPO,LunarLander,1,64,0,1,37.1,13.943,4810,50.6805
628,MobileNetV2,CIFAR-10,1,64,1,0.987,PointNet,ShapeNet,1,32,0,0.962,58.408,28.013,6600,50.791
618,MobileNetV2,CIFAR-10,1,32,0,0.994,PointNet,ShapeNet,1,64,0,0.972,50.761,26.099,8876,50.8175
432,ResNet18,CIFAR-10,1,32,1,0.92,PPO,LunarLander,1,128,0,1,37.542,14.806,4378,50.966
712,VGG,CIFAR-10,1,128,1,1.127,PointNet,ShapeNet,1,32,0,1.009,58.104,31.455,7772,51.1435
690,VGG,CIFAR-10,1,32,0,1.272,PointNet,ShapeNet,1,64,0,0.956,55.214,32.4,9754,51.177
482,VGG,CIFAR-10,1,32,1,0.854,PPO,LunarLander,1,32,0,1,35.286,11.814,5962,51.252
1353,VGG,CIFAR-10,1,32,1,0.901,TD3,BipedalWalker,1,32,0,1,31.086,10.448,6566,51.266
683,EfficientNet,CIFAR-10,1,128,0,0.908,PointNet,ShapeNet,1,128,1,0.928,44.593,19.508,9590,51.3325
966,EfficientNet,CIFAR-10,1,32,0,1.041,EfficientNet,CIFAR-10,1,64,1,0.995,45.575,6.521,4622,51.377
675,EfficientNet,CIFAR-10,1,128,0,1.008,PointNet,ShapeNet,1,32,1,1.011,55.04,22.88,6046,51.4735
622,MobileNetV2,CIFAR-10,1,32,0,1.008,PointNet,ShapeNet,1,128,0,0.936,44.803,21.934,13004,51.4905
694,VGG,CIFAR-10,1,32,0,1.27,PointNet,ShapeNet,1,128,0,0.929,51.887,31.145,13882,51.85
679,EfficientNet,CIFAR-10,1,128,0,0.923,PointNet,ShapeNet,1,64,1,0.974,50.2,21.271,7146,52.0065
632,MobileNetV2,CIFAR-10,1,64,1,0.988,PointNet,ShapeNet,1,64,0,0.87,47.535,21.408,8930,52.2005
1357,VGG,CIFAR-10,1,32,1,0.882,TD3,BipedalWalker,1,128,0,1,36.739,13.109,4818,52.428
447,MobileNetV2,CIFAR-10,1,32,0,0.911,PPO,LunarLander,1,64,0,1,42.314,13.686,4556,52.443
975,EfficientNet,CIFAR-10,1,64,1,0.9,EfficientNet,CIFAR-10,1,64,1,0.938,43.431,6.167,4602,52.446
716,VGG,CIFAR-10,1,128,1,1.082,PointNet,ShapeNet,1,64,0,0.975,50.761,31.437,10152,52.553
483,VGG,CIFAR-10,1,32,0,0.959,PPO,LunarLander,1,64,0,1,38.215,16.62,5434,52.8025
1355,VGG,CIFAR-10,1,32,1,0.866,TD3,BipedalWalker,1,64,0,1,34.965,13.407,4818,52.829
636,MobileNetV2,CIFAR-10,1,64,1,0.959,PointNet,ShapeNet,1,128,0,0.925,47.426,23.246,13058,52.8735
175,PointNet,ShapeNet,1,128,1,0.93,DCGAN,LSUN,1,64,1,1.17,54.15,23.95,9328,53.0085
445,MobileNetV2,CIFAR-10,1,32,0,0.976,PPO,LunarLander,1,32,0,1,43.174,13.884,4556,53.0145
1316,MobileNetV2,CIFAR-10,1,32,0,0.977,TD3,BipedalWalker,1,32,0,1,32.744,9.436,4564,53.0285
151,PointNet,ShapeNet,1,32,1,0.993,DCGAN,LSUN,1,64,1,1.116,58.039,24.829,5780,53.1495
1181,MobileNetV3,ImageNet,1,32,0,1.079,PointNet,ShapeNet,1,128,1,0.918,5.255,4.6,7001,53.2005
720,VGG,CIFAR-10,1,128,1,1.066,PointNet,ShapeNet,1,128,0,0.945,46.667,28.617,13046,53.226
1173,MobileNetV3,ImageNet,1,32,0,0.959,PointNet,ShapeNet,1,32,1,0.996,13.97,8.104,6050,53.3415
481,VGG,CIFAR-10,1,32,0,1.009,PPO,LunarLander,1,32,0,1,40.597,17.111,5434,53.374
1352,VGG,CIFAR-10,1,32,0,1.015,TD3,BipedalWalker,1,32,0,1,36.741,15.444,5442,53.388
486,VGG,CIFAR-10,1,32,1,0.907,PPO,LunarLander,1,128,0,1,39.575,14.637,4810,53.574
163,PointNet,ShapeNet,1,64,1,0.977,DCGAN,LSUN,1,64,1,1.13,55.718,23.958,6884,53.6825
454,MobileNetV2,CIFAR-10,1,64,1,0.882,PPO,LunarLander,1,64,0,1,40.418,12.354,4610,53.826
1177,MobileNetV3,ImageNet,1,32,0,0.984,PointNet,ShapeNet,1,64,1,0.988,13.459,9.475,7248,53.8745
674,EfficientNet,CIFAR-10,1,128,0,0.896,PointNet,ShapeNet,1,32,0,0.999,53.312,24.052,6592,54.151
496,VGG,CIFAR-10,1,128,1,1.119,PPO,LunarLander,1,64,0,1,44.19,19.152,5830,54.1785
1320,MobileNetV2,CIFAR-10,1,32,0,0.999,TD3,BipedalWalker,1,128,0,1,39.063,11.825,4564,54.1905
452,MobileNetV2,CIFAR-10,1,64,1,0.942,PPO,LunarLander,1,32,0,1,43.732,13.169,4610,54.3975
1323,MobileNetV2,CIFAR-10,1,64,1,1.059,TD3,BipedalWalker,1,32,0,1,36.253,10.734,4618,54.4115
707,VGG,CIFAR-10,1,64,0,1.068,PointNet,ShapeNet,1,128,1,0.918,59.344,37.77,9332,54.536
892,MobileNetV2,CIFAR-10,1,32,1,0.865,EfficientNet,CIFAR-10,1,32,0,0.98,45.267,10.133,4650,54.543
1356,VGG,CIFAR-10,1,32,0,0.942,TD3,BipedalWalker,1,128,0,1,41.234,18.234,5442,54.55
1318,MobileNetV2,CIFAR-10,1,32,0,1.045,TD3,BipedalWalker,1,64,0,1,39.147,12.133,4588,54.5915
699,VGG,CIFAR-10,1,64,0,1.044,PointNet,ShapeNet,1,32,1,0.986,61.39,37.545,6940,54.677
494,VGG,CIFAR-10,1,128,1,1.132,PPO,LunarLander,1,32,0,1,47.394,21.958,5830,54.75
1365,VGG,CIFAR-10,1,128,1,1.167,TD3,BipedalWalker,1,32,0,1,41.865,18.081,4606,54.764
267,EfficientNet,CIFAR-10,1,32,1,0.968,DCGAN,LSUN,1,32,1,0.923,46.8,12.813,4928,54.7915
1354,VGG,CIFAR-10,1,32,0,1.162,TD3,BipedalWalker,1,64,0,1,42.938,20,5442,54.951
967,EfficientNet,CIFAR-10,1,32,1,1.029,EfficientNet,CIFAR-10,1,64,0,0.906,47.838,8.324,4964,55.051
703,VGG,CIFAR-10,1,64,0,1.061,PointNet,ShapeNet,1,64,1,0.956,64.529,40.729,8138,55.21
449,MobileNetV2,CIFAR-10,1,32,0,0.954,PPO,LunarLander,1,128,0,1,41.779,13.494,4556,55.3365
678,EfficientNet,CIFAR-10,1,128,0,0.898,PointNet,ShapeNet,1,64,0,0.989,52.535,23.803,8962,55.5605
1327,MobileNetV2,CIFAR-10,1,64,1,1.055,TD3,BipedalWalker,1,128,0,1,38.056,11.597,4618,55.5735
897,MobileNetV2,CIFAR-10,1,32,1,0.925,EfficientNet,CIFAR-10,1,64,1,0.972,49.12,10.507,4634,55.612
990,EfficientNet,CIFAR-10,1,32,1,0.939,VGG,CIFAR-10,1,64,1,1.037,52.653,21.773,5786,55.6145
75,MobileNetV3,ImageNet,1,32,1,1.022,EfficientNet,CIFAR-10,1,32,1,0.984,28.041,3.068,4580,55.6835
485,VGG,CIFAR-10,1,32,0,1.195,PPO,LunarLander,1,128,0,1,49.676,22.203,5434,55.696
149,PointNet,ShapeNet,1,32,0,0.957,DCGAN,LSUN,1,64,1,1.112,60.587,26.987,6320,55.827
1369,VGG,CIFAR-10,1,128,1,1.128,TD3,BipedalWalker,1,128,0,1,38.563,15.366,4606,55.926
1325,MobileNetV2,CIFAR-10,1,64,1,0.926,TD3,BipedalWalker,1,64,0,1,41.94,13.181,4618,55.9745
1172,MobileNetV3,ImageNet,1,32,0,1.062,PointNet,ShapeNet,1,32,0,0.999,16.968,9.839,6684,56.019
972,EfficientNet,CIFAR-10,1,32,1,1.035,EfficientNet,CIFAR-10,1,128,1,0.896,49.233,8.658,5444,56.0935
682,EfficientNet,CIFAR-10,1,128,0,0.928,PointNet,ShapeNet,1,128,0,0.848,52.093,23.093,13902,56.2335
1367,VGG,CIFAR-10,1,128,1,1.108,TD3,BipedalWalker,1,64,0,1,44.95,20.017,4606,56.327
456,MobileNetV2,CIFAR-10,1,64,1,1.021,PPO,LunarLander,1,128,0,1,49.233,15.808,4610,56.7195
498,VGG,CIFAR-10,1,128,1,1.117,PPO,LunarLander,1,128,0,1,47.74,21.805,4714,57.072
477,EfficientNet,CIFAR-10,1,128,0,0.857,PPO,LunarLander,1,64,0,1,45.473,12.865,4640,57.186
800,ResNet18,CIFAR-10,1,32,1,0.928,EfficientNet,CIFAR-10,1,32,1,0.961,47.618,18.592,4528,57.198
161,PointNet,ShapeNet,1,64,0,0.976,DCGAN,LSUN,1,64,1,1.087,58.493,26.155,8698,57.2365
698,VGG,CIFAR-10,1,64,0,0.991,PointNet,ShapeNet,1,32,0,0.987,64.865,41.419,7574,57.3545
1176,MobileNetV3,ImageNet,1,32,0,0.978,PointNet,ShapeNet,1,64,0,0.966,14.381,10.016,9062,57.4285
475,EfficientNet,CIFAR-10,1,128,0,0.86,PPO,LunarLander,1,32,0,1,43.986,12.432,4640,57.7575
1346,EfficientNet,CIFAR-10,1,128,0,0.939,TD3,BipedalWalker,1,32,0,1,39.925,11.327,4998,57.7715
719,VGG,CIFAR-10,1,128,0,1.039,PointNet,ShapeNet,1,128,1,0.927,50.15,33.433,9550,57.778
1195,MobileNetV3,ImageNet,1,64,1,1.012,PointNet,ShapeNet,1,128,1,0.929,5.556,4.87,7001,57.781
173,PointNet,ShapeNet,1,128,0,0.965,DCGAN,LSUN,1,64,1,1.105,53.951,23.344,12826,57.9095
711,VGG,CIFAR-10,1,128,0,1.128,PointNet,ShapeNet,1,32,1,0.937,65.427,36.48,7504,57.919
1187,MobileNetV3,ImageNet,1,64,1,1.054,PointNet,ShapeNet,1,32,1,1.011,16.53,8.606,6062,57.922
1180,MobileNetV3,ImageNet,1,32,0,0.95,PointNet,ShapeNet,1,128,0,0.97,8.059,6.627,10499,58.1015
715,VGG,CIFAR-10,1,128,0,1.076,PointNet,ShapeNet,1,64,1,0.965,57.101,37.246,8544,58.452
1191,MobileNetV3,ImageNet,1,64,1,1.026,PointNet,ShapeNet,1,64,1,0.993,11.078,6.516,7260,58.455
702,VGG,CIFAR-10,1,64,0,1.03,PointNet,ShapeNet,1,64,0,0.934,66.638,42.319,9952,58.764
871,MobileNetV2,CIFAR-10,1,32,1,0.91,MobileNetV2,CIFAR-10,1,32,1,0.878,47.76,13.693,4662,58.778
265,EfficientNet,CIFAR-10,1,32,0,0.97,DCGAN,LSUN,1,32,1,0.983,50.658,15.118,5060,58.804
731,DCGAN,LSUN,1,64,1,0.998,PPO,LunarLander,1,64,0,1,49.235,15.809,4378,58.862
1350,EfficientNet,CIFAR-10,1,128,0,0.981,TD3,BipedalWalker,1,128,0,1,51.096,15.558,4648,58.9335
411,MobileNetV3,ImageNet,1,32,0,1.162,PPO,LunarLander,1,64,0,1,16.882,2.105,4742,59.054
965,EfficientNet,CIFAR-10,1,32,0,0.936,EfficientNet,CIFAR-10,1,64,0,0.885,46.892,9.459,5096,59.0635
1348,EfficientNet,CIFAR-10,1,128,0,0.832,TD3,BipedalWalker,1,64,0,1,38.922,10.706,5464,59.3345
729,DCGAN,LSUN,1,64,1,1.032,PPO,LunarLander,1,32,0,1,44.974,13.974,4378,59.4335
706,VGG,CIFAR-10,1,64,0,1.044,PointNet,ShapeNet,1,128,0,0.958,63.017,40.433,12838,59.437
506,DCGAN,LSUN,1,64,1,1.01,TD3,BipedalWalker,1,32,0,1,48.617,15.404,4386,59.4475
