,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
35,MobileNetV3,ImageNet,1,128,1,0.765,ResNet18,CIFAR-10,1,128,1,0.845,73.853,36.987,7274,159.0145
69,MobileNetV3,ImageNet,1,128,0,0.746,MobileNetV2,CIFAR-10,1,128,1,0.9,67.826,32.884,7620,159.061
547,MobileNetV3,ImageNet,1,128,1,0.662,DCGAN,LSUN,1,64,0,0.909,80.316,32.724,5646,159.1395
550,MobileNetV3,ImageNet,1,128,0,0.726,DCGAN,LSUN,1,128,1,0.808,62.618,31.645,7138,159.53
403,LSTM,Wikitext2,1,64,0,0.544,LSTM,Wikitext2,1,128,1,0.84,100,87.407,9226,160.374
789,ResNet18,CIFAR-10,1,128,0,0.726,MobileNetV2,CIFAR-10,1,64,0,0.621,99.747,70.667,6182,160.6265
1275,MobileNetV3,ImageNet,1,128,1,1.051,LSTM,Wikitext2,1,128,0,0.977,74.824,60.804,5641,160.867
16,MobileNetV3,ImageNet,1,64,0,0.732,ResNet18,CIFAR-10,1,64,0,0.822,88.373,46.893,5948,161.2695
1115,MobileNetV2,CIFAR-10,1,128,0,0.605,LSTM,Wikitext2,1,128,1,0.904,98.226,81.566,9716,161.815
1102,MobileNetV2,CIFAR-10,1,64,0,0.581,LSTM,Wikitext2,1,64,0,0.819,100,78.561,6916,162.4865
1247,MobileNetV3,ImageNet,1,64,0,0.725,MobileNetV3,ImageNet,1,128,1,0.678,100,56.867,6892,163.7035
1274,MobileNetV3,ImageNet,1,128,0,0.993,LSTM,Wikitext2,1,128,1,0.989,64,54.604,5345,163.751
883,MobileNetV2,CIFAR-10,1,64,0,0.693,MobileNetV2,CIFAR-10,1,128,0,0.673,99.592,70.553,7104,163.9275
751,ResNet18,CIFAR-10,1,64,0,0.648,ResNet18,CIFAR-10,1,64,0,0.652,98.658,68.513,5342,165.628
64,MobileNetV3,ImageNet,1,128,0,0.744,MobileNetV2,CIFAR-10,1,64,0,0.839,69.986,41.757,7450,165.8635
392,DCGAN,LSUN,1,128,0,0.727,LSTM,Wikitext2,1,64,1,0.725,98.702,68.404,6868,166.5025
226,ResNet18,CIFAR-10,1,128,1,0.513,DCGAN,LSUN,1,128,0,0.756,99.24,55.08,7154,166.6495
1291,DCGAN,LSUN,1,64,0,0.548,DCGAN,LSUN,1,128,0,0.749,99.4,46.893,5466,166.7745
30,MobileNetV3,ImageNet,1,128,1,0.692,ResNet18,CIFAR-10,1,64,0,0.838,85.48,42,6060,168.062
1087,ResNet18,CIFAR-10,1,128,0,0.678,LSTM,Wikitext2,1,64,1,0.781,99.339,83.607,6990,168.3825
395,DCGAN,LSUN,1,128,0,0.622,LSTM,Wikitext2,1,128,0,0.83,99.039,71.824,8734,168.502
759,ResNet18,CIFAR-10,1,128,0,0.714,ResNet18,CIFAR-10,1,128,1,0.526,99.72,66.467,7402,168.5295
220,ResNet18,CIFAR-10,1,128,0,0.643,DCGAN,LSUN,1,64,0,0.631,99.581,57.5,7748,168.6545
400,LSTM,Wikitext2,1,64,0,0.647,LSTM,Wikitext2,1,64,1,0.636,100,86.536,7656,170.2425
1090,ResNet18,CIFAR-10,1,128,0,0.598,LSTM,Wikitext2,1,128,0,0.857,99,82.796,10020,170.382
1088,ResNet18,CIFAR-10,1,128,1,0.578,LSTM,Wikitext2,1,64,0,0.822,99.948,80.534,7942,170.3895
1252,MobileNetV3,ImageNet,1,128,1,0.695,MobileNetV3,ImageNet,1,128,1,0.691,100,49.706,6734,170.496
383,DCGAN,LSUN,1,64,0,0.667,LSTM,Wikitext2,1,64,0,0.751,100,72.193,6812,170.5145
537,MobileNetV3,ImageNet,1,64,0,0.541,DCGAN,LSUN,1,128,0,0.868,93.364,39.701,6436,171.3385
1111,MobileNetV2,CIFAR-10,1,128,0,0.641,LSTM,Wikitext2,1,64,1,0.78,98.86,81.053,7850,171.6835
795,ResNet18,CIFAR-10,1,128,1,0.66,MobileNetV2,CIFAR-10,1,128,0,0.68,99.693,71.093,8050,171.8305
256,MobileNetV2,CIFAR-10,1,128,0,0.543,DCGAN,LSUN,1,64,0,0.707,99.959,60.986,6556,171.9555
402,LSTM,Wikitext2,1,64,0,0.52,LSTM,Wikitext2,1,128,0,0.731,100,85.216,9522,172.242
20,MobileNetV3,ImageNet,1,64,0,0.561,ResNet18,CIFAR-10,1,128,0,0.836,96.813,55.493,6360,173.2185
1270,MobileNetV3,ImageNet,1,128,0,0.969,LSTM,Wikitext2,1,64,1,1.024,74.596,60.491,3775,173.6195
1114,MobileNetV2,CIFAR-10,1,128,0,0.561,LSTM,Wikitext2,1,128,0,0.857,99.68,82.04,9716,173.683
33,MobileNetV3,ImageNet,1,128,0,0.685,ResNet18,CIFAR-10,1,128,1,0.807,76.493,47.893,8486,173.7665
545,MobileNetV3,ImageNet,1,128,0,0.628,DCGAN,LSUN,1,64,0,0.91,82.395,38.737,6754,173.8915
1261,MobileNetV3,ImageNet,1,64,0,1.213,LSTM,Wikitext2,1,64,0,1.012,100,73.75,3909,175.0785
1273,MobileNetV3,ImageNet,1,128,0,0.963,LSTM,Wikitext2,1,128,0,0.978,73.792,61.113,5641,175.619
212,ResNet18,CIFAR-10,1,64,0,0.444,DCGAN,LSUN,1,128,0,0.718,99.909,48.519,5778,175.697
56,MobileNetV3,ImageNet,1,64,0,0.653,MobileNetV2,CIFAR-10,1,128,0,0.897,96.933,60.467,7288,176.5195
754,ResNet18,CIFAR-10,1,64,0,0.539,ResNet18,CIFAR-10,1,128,0,0.658,99.868,68.316,6436,177.577
551,MobileNetV3,ImageNet,1,128,1,0.561,DCGAN,LSUN,1,128,0,0.93,92.813,38.16,6706,178.131
1246,MobileNetV3,ImageNet,1,64,0,0.555,MobileNetV3,ImageNet,1,128,0,0.686,100,67.75,7656,178.4555
