ali_share_x,ali_share_y,ali_gpumem_x,ali_gpumem_y,ali_gpuutil_x,ali_gpuutil_y,msft_8gpu_x,msft_8gpu_y,msft_16gpu_x,msft_16gpu_y
,,14.4317,54.3382,97.0626,98.3271,,,87.2286,88.3764
,,14.6871,55.0089,97.7011,98.6616,,,88.6335,88.9299
,,15.0702,55.1761,98.5951,98.8279,,,90.2937,89.4834
,,15.5811,55.1752,98.9783,99.1628,,,91.6986,90.0369
,,15.5811,56.1819,98.9783,99.6661,,,92.0817,90.9594
,,15.5811,56.5175,,,,,92.2095,91.6974
,,16.092,56.8522,,,,,92.2095,92.0664
,,16.8582,57.0187,,,,,92.5926,92.6199
,,17.4968,56.8498,,,,,93.3589,93.3579
,,18.3908,56.8483,,,,,94.5083,93.7269
,,19.2848,56.8468,,,,,95.53,94.0959
,,19.6679,57.1818,,,,,96.5517,94.6494
,,20.3065,57.684,,,,,97.1903,95.203
,,20.5619,58.187,,,,,97.7011,95.572
,,20.6897,58.6901,,,,,98.212,96.1255
,,20.9451,59.0253,,,,,98.7229,96.8635
,,21.2005,59.696,,,,,99.3614,97.9705
,,21.2005,60.3671,,,,,99.6169,98.7085
,,21.4559,61.0378,,,,,,
,,21.7114,61.5408,,,,,,
,,22.2222,62.0433,,,,,,
,,22.9885,62.2098,,,,,,
,,23.4994,62.3767,,,,,,
,,24.1379,63.0467,,,,,,
,,24.6488,63.5492,,,,,,
,,25.0319,64.052,,,,,,
,,26.1814,64.05,,,,,,
,,26.4368,64.7207,,,,,,
,,27.3308,65.3904,,,,,,
,,27.8416,65.5573,,,,,,
,,28.7356,65.5558,,,,,,
,,29.6296,65.7221,,,,,,
,,30.2682,66.3922,,,,,,
,,30.7791,66.8947,,,,,,
,,31.5453,67.229,,,,,,
,,32.1839,67.3957,,,,,,
,,33.3333,67.226,,,,,,
,,34.8659,67.2234,,,,,,
,,36.0153,67.557,,,,,,
,,37.037,67.7231,,,,,,
,,38.0587,68.2247,,,,,,
,,38.4419,68.8952,,,,,,
,,38.5696,69.3984,,,,,,
,,39.0805,69.3975,,,,,,
,,39.719,69.732,,,,,,
,,39.719,70.4032,,,,,,
,,39.5913,71.2423,,,,,,
,,39.719,72.2488,,,,,,
,,39.8467,72.9197,,,,,,
,,39.5913,73.5913,,,,,,
,,39.719,74.43,,,,,,
,,39.8467,75.1009,,,,,,
,,39.8467,76.2754,,,,,,
,,40.3576,76.6101,,,,,,
,,41.1239,76.7766,,,,,,
,,41.8902,76.7754,,,,,,
,,42.5287,76.9421,,,,,,
,,43.1673,77.2766,,,,,,
,,43.9336,77.2753,,,,,,
,,44.6999,77.6096,,,,,,
,,45.3384,77.9441,,,,,,
,,45.8493,78.111,,,,,,
,,46.7433,78.4451,,,,,,
,,47.5096,78.7793,,,,,,
,,48.1481,78.7783,,,,,,
,,48.659,79.113,,,,,,
,,48.659,79.7841,,,,,,
,,48.659,80.2875,,,,,,
,,48.7867,80.9584,,,,,,
,,49.0421,81.4613,,,,,,
,,49.2976,82.1321,,,,,,
,,49.2976,83.1388,,,,,,
,,49.2976,83.6421,,,,,,
,,49.8084,84.648,,,,,,
,,50.1916,85.1507,,,,,,
,,50.3193,85.9894,,,,,,
,,50.3193,86.4928,,,,,,
,,50.5747,86.8279,,,,,,
,,51.0856,87.1626,,,,,,
,,52.1073,87.4965,,,,,,
,,52.7458,87.831,,,,,,
,,53.3844,88.3332,,,,,,
,,54.2784,88.6673,,,,,,
,,55.0447,89.0016,,,,,,
,,55.811,89.1681,,,,,,
,,56.1941,90.0064,,,,,,
,,56.3218,90.6773,,,,,,
,,56.3218,91.3485,,,,,,
,,56.9604,91.3474,,,,,,
,,57.599,91.3463,,,,,,
,,58.493,91.5126,,,,,,
,,59.1315,91.5115,,,,,,
,,59.7701,91.6782,,,,,,
,,60.281,92.013,,,,,,
,,61.0473,92.0117,,,,,,
,,61.8135,92.0104,,,,,,
,,62.8352,92.0087,,,,,,
,,63.7292,92.0072,,,,,,
,,64.4955,92.0059,,,,,,
,,65.3895,92.0044,,,,,,
,,65.9004,92.1713,,,,,,
,,66.539,92.1702,,,,,,
,,67.3052,92.0012,,,,,,
,,68.0715,92.1677,,,,,,
