,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,mobilenet_v3_small,ImageNet,2,32,0,1296.399,mobilenet_v3_small,ImageNet,2,32,0,1374.433,33.455,9.0,4718
1,mobilenet_v3_small,ImageNet,2,32,0,1292.421,mobilenet_v3_small,ImageNet,2,32,1,1185.286,35.4,6.4,4588
2,mobilenet_v3_small,ImageNet,2,32,1,1272.302,mobilenet_v3_small,ImageNet,2,32,1,1146.946,32.4,4.8,4488
3,mobilenet_v3_small,ImageNet,2,32,0,1335.284,mobilenet_v3_small,ImageNet,2,64,0,2532.426,39.909,15.364,5044
4,mobilenet_v3_small,ImageNet,2,32,0,1228.67,mobilenet_v3_small,ImageNet,2,64,1,2166.571,35.556,9.444,4766
5,mobilenet_v3_small,ImageNet,2,32,1,1186.899,mobilenet_v3_small,ImageNet,2,64,0,2641.788,41.6,12.8,4942
6,mobilenet_v3_small,ImageNet,2,32,1,1261.847,mobilenet_v3_small,ImageNet,2,64,1,2577.029,38.8,8.2,4664
7,mobilenet_v3_small,ImageNet,2,32,0,1311.409,mobilenet_v3_small,ImageNet,2,128,0,5234.895,53.571,25.143,5670
8,mobilenet_v3_small,ImageNet,2,32,0,1320.537,mobilenet_v3_small,ImageNet,2,128,1,4739.639,47.222,15.556,5180
9,mobilenet_v3_small,ImageNet,2,32,1,1201.836,mobilenet_v3_small,ImageNet,2,128,0,5407.872,59.286,26.429,5568
10,mobilenet_v3_small,ImageNet,2,32,1,1222.376,mobilenet_v3_small,ImageNet,2,128,1,4605.829,45.111,12.667,4994
11,mobilenet_v3_small,ImageNet,2,64,0,2649.643,mobilenet_v3_small,ImageNet,2,64,0,2614.308,44.0,19.667,5382
12,mobilenet_v3_small,ImageNet,2,64,0,2711.398,mobilenet_v3_small,ImageNet,2,64,1,2579.456,47.6,16.8,5124
13,mobilenet_v3_small,ImageNet,2,64,1,2440.675,mobilenet_v3_small,ImageNet,2,64,1,2441.445,42.286,10.857,4830
14,mobilenet_v3_small,ImageNet,2,64,0,2643.207,mobilenet_v3_small,ImageNet,2,128,0,5193.373,64.727,33.545,6024
15,mobilenet_v3_small,ImageNet,2,64,0,2608.438,mobilenet_v3_small,ImageNet,2,128,1,4352.944,55.667,19.667,5392
16,mobilenet_v3_small,ImageNet,2,64,1,2367.347,mobilenet_v3_small,ImageNet,2,128,0,5253.832,63.2,29.6,5722
17,mobilenet_v3_small,ImageNet,2,64,1,2279.283,mobilenet_v3_small,ImageNet,2,128,1,4411.359,51.571,15.714,5242
18,mobilenet_v3_small,ImageNet,2,128,0,4680.286,mobilenet_v3_small,ImageNet,2,128,0,5039.635,77.4,44.2,6634
19,mobilenet_v3_small,ImageNet,2,128,0,5851.333,mobilenet_v3_small,ImageNet,2,128,1,4654.172,79.6,37.6,6064
20,mobilenet_v3_small,ImageNet,2,128,1,4521.369,mobilenet_v3_small,ImageNet,2,128,1,4676.987,68.273,23.727,5654
