,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,mobilenet_v3_small,ImageNet,2,32,0,1361.264,PointNet,ShapeNet,2,32,0,255.71,6.924,4.797,5460
1,mobilenet_v3_small,ImageNet,2,32,0,1316.538,PointNet,ShapeNet,2,32,1,264.852,2.988,1.663,5086
2,mobilenet_v3_small,ImageNet,2,32,1,1211.57,PointNet,ShapeNet,2,32,0,266.987,4.68,3.413,5358
3,mobilenet_v3_small,ImageNet,2,32,1,1177.104,PointNet,ShapeNet,2,32,1,264.457,4.024,1.965,4974
4,mobilenet_v3_small,ImageNet,2,32,0,1296.761,PointNet,ShapeNet,2,64,0,274.949,5.627,4.493,4103
5,mobilenet_v3_small,ImageNet,2,32,0,1335.561,PointNet,ShapeNet,2,64,1,277.589,3.183,2.648,3351
6,mobilenet_v3_small,ImageNet,2,32,1,1158.692,PointNet,ShapeNet,2,64,0,274.616,4.304,3.551,4097
7,mobilenet_v3_small,ImageNet,2,32,1,1237.009,PointNet,ShapeNet,2,64,1,273.573,3.301,2.699,3381
8,mobilenet_v3_small,ImageNet,2,32,0,1341.721,PointNet,ShapeNet,2,128,0,258.432,5.644,4.627,6363
9,mobilenet_v3_small,ImageNet,2,32,0,1365.8,PointNet,ShapeNet,2,128,1,257.676,1.764,1.491,4555
10,mobilenet_v3_small,ImageNet,2,32,1,1074.225,PointNet,ShapeNet,2,128,0,267.47,1.77,1.459,6363
11,mobilenet_v3_small,ImageNet,2,32,1,1198.975,PointNet,ShapeNet,2,128,1,262.851,2.525,2.082,4555
12,mobilenet_v3_small,ImageNet,2,64,0,2522.557,PointNet,ShapeNet,2,32,0,265.608,4.416,3.221,3109
13,mobilenet_v3_small,ImageNet,2,64,0,2559.638,PointNet,ShapeNet,2,32,1,262.46,2.307,1.507,2731
14,mobilenet_v3_small,ImageNet,2,64,1,2432.207,PointNet,ShapeNet,2,32,0,252.908,4.133,2.947,5482
15,mobilenet_v3_small,ImageNet,2,64,1,2427.155,PointNet,ShapeNet,2,32,1,267.158,3.208,1.974,2739
16,mobilenet_v3_small,ImageNet,2,64,0,2686.975,PointNet,ShapeNet,2,64,0,275.39,4.211,3.38,4103
17,mobilenet_v3_small,ImageNet,2,64,0,2660.716,PointNet,ShapeNet,2,64,1,267.823,3.423,2.746,3359
18,mobilenet_v3_small,ImageNet,2,64,1,2325.603,PointNet,ShapeNet,2,64,0,270.685,4.356,3.534,4103
19,mobilenet_v3_small,ImageNet,2,64,1,2357.219,PointNet,ShapeNet,2,64,1,270.904,3.11,2.534,3373
20,mobilenet_v3_small,ImageNet,2,64,0,2465.688,PointNet,ShapeNet,2,128,0,263.578,4.0,3.206,6363
21,mobilenet_v3_small,ImageNet,2,64,0,2521.654,PointNet,ShapeNet,2,128,1,279.1,2.492,2.066,4555
22,mobilenet_v3_small,ImageNet,2,64,1,2071.134,PointNet,ShapeNet,2,128,0,275.948,3.934,3.262,6363
23,mobilenet_v3_small,ImageNet,2,64,1,2324.006,PointNet,ShapeNet,2,128,1,271.199,3.333,2.841,4555
24,mobilenet_v3_small,ImageNet,2,128,0,5246.352,PointNet,ShapeNet,2,32,0,265.066,7.506,5.148,6440
25,mobilenet_v3_small,ImageNet,2,128,0,5076.634,PointNet,ShapeNet,2,32,1,269.359,3.734,2.127,2717
26,mobilenet_v3_small,ImageNet,2,128,1,4590.82,PointNet,ShapeNet,2,32,0,266.487,6.649,4.468,5854
27,mobilenet_v3_small,ImageNet,2,128,1,4928.758,PointNet,ShapeNet,2,32,1,270.435,3.654,2.321,5488
28,mobilenet_v3_small,ImageNet,2,128,0,5191.062,PointNet,ShapeNet,2,64,0,275.529,3.63,2.904,4103
29,mobilenet_v3_small,ImageNet,2,128,0,5349.691,PointNet,ShapeNet,2,64,1,267.747,3.042,2.394,3373
30,mobilenet_v3_small,ImageNet,2,128,1,4414.43,PointNet,ShapeNet,2,64,0,268.506,6.058,4.884,4103
31,mobilenet_v3_small,ImageNet,2,128,1,4935.875,PointNet,ShapeNet,2,64,1,272.495,3.36,2.693,3351
32,mobilenet_v3_small,ImageNet,2,128,0,4784.102,PointNet,ShapeNet,2,128,0,274.973,5.377,4.508,6371
33,mobilenet_v3_small,ImageNet,2,128,0,5605.263,PointNet,ShapeNet,2,128,1,260.791,2.627,2.186,4555
34,mobilenet_v3_small,ImageNet,2,128,1,4183.619,PointNet,ShapeNet,2,128,0,267.994,3.339,2.763,6363
35,mobilenet_v3_small,ImageNet,2,128,1,4403.197,PointNet,ShapeNet,2,128,1,252.914,2.286,1.921,4555
