,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,mobilenet_v3_small,ImageNet,2,32,0,1352.98,DCGAN,LSUN,2,32,0,1668.727,26.152,5.556,5046
1,mobilenet_v3_small,ImageNet,2,32,0,1341.628,DCGAN,LSUN,2,32,1,1395.73,21.66,3.897,5144
2,mobilenet_v3_small,ImageNet,2,32,1,1255.211,DCGAN,LSUN,2,32,0,1537.725,25.653,4.723,4936
3,mobilenet_v3_small,ImageNet,2,32,1,1249.385,DCGAN,LSUN,2,32,1,1498.364,22.921,4.455,4980
4,mobilenet_v3_small,ImageNet,2,32,0,1304.716,DCGAN,LSUN,2,64,0,3311.39,33.455,9.198,4654
5,mobilenet_v3_small,ImageNet,2,32,0,1329.942,DCGAN,LSUN,2,64,1,3179.421,24.848,5.838,5100
6,mobilenet_v3_small,ImageNet,2,32,1,1192.127,DCGAN,LSUN,2,64,0,3316.747,33.641,8.117,4554
7,mobilenet_v3_small,ImageNet,2,32,1,1150.207,DCGAN,LSUN,2,64,1,2851.28,25.172,5.374,4996
8,mobilenet_v3_small,ImageNet,2,32,0,1273.74,DCGAN,LSUN,2,128,0,6181.092,44.198,14.673,5442
9,mobilenet_v3_small,ImageNet,2,32,0,1365.354,DCGAN,LSUN,2,128,1,5432.052,31.04,8.01,4882
10,mobilenet_v3_small,ImageNet,2,32,1,1217.574,DCGAN,LSUN,2,128,0,6399.18,45.851,15.04,5344
11,mobilenet_v3_small,ImageNet,2,32,1,1217.453,DCGAN,LSUN,2,128,1,5740.78,30.98,8.242,4772
12,mobilenet_v3_small,ImageNet,2,64,0,2599.725,DCGAN,LSUN,2,32,0,1685.409,25.697,5.838,5454
13,mobilenet_v3_small,ImageNet,2,64,0,2717.531,DCGAN,LSUN,2,32,1,1535.294,22.262,5.107,5388
14,mobilenet_v3_small,ImageNet,2,64,1,2432.697,DCGAN,LSUN,2,32,0,1698.618,24.856,5.474,5160
15,mobilenet_v3_small,ImageNet,2,64,1,2412.299,DCGAN,LSUN,2,32,1,1546.672,21.404,4.404,5140
16,mobilenet_v3_small,ImageNet,2,64,0,2622.693,DCGAN,LSUN,2,64,0,3008.084,32.848,8.667,4986
17,mobilenet_v3_small,ImageNet,2,64,0,2594.536,DCGAN,LSUN,2,64,1,2834.417,25.626,6.202,5434
18,mobilenet_v3_small,ImageNet,2,64,1,2397.868,DCGAN,LSUN,2,64,0,3403.819,33.738,9.505,4710
19,mobilenet_v3_small,ImageNet,2,64,1,2222.259,DCGAN,LSUN,2,64,1,2808.524,25.564,5.505,5152
20,mobilenet_v3_small,ImageNet,2,64,0,2653.648,DCGAN,LSUN,2,128,0,6846.146,48.182,16.414,5774
21,mobilenet_v3_small,ImageNet,2,64,0,2562.663,DCGAN,LSUN,2,128,1,6024.917,32.535,9.663,5226
22,mobilenet_v3_small,ImageNet,2,64,1,2324.251,DCGAN,LSUN,2,128,0,6843.88,47.606,16.131,5506
23,mobilenet_v3_small,ImageNet,2,64,1,2367.855,DCGAN,LSUN,2,128,1,5602.383,31.621,8.779,4926
24,mobilenet_v3_small,ImageNet,2,128,0,5306.872,DCGAN,LSUN,2,32,0,1699.516,26.838,6.889,6010
25,mobilenet_v3_small,ImageNet,2,128,0,5176.316,DCGAN,LSUN,2,32,1,1491.07,24.851,5.733,6108
26,mobilenet_v3_small,ImageNet,2,128,1,4526.914,DCGAN,LSUN,2,32,0,1599.015,27.313,5.687,5398
27,mobilenet_v3_small,ImageNet,2,128,1,4591.864,DCGAN,LSUN,2,32,1,1481.249,23.446,5.01,5448
28,mobilenet_v3_small,ImageNet,2,128,0,5136.476,DCGAN,LSUN,2,64,0,3432.613,35.621,10.204,5612
29,mobilenet_v3_small,ImageNet,2,128,0,5148.598,DCGAN,LSUN,2,64,1,2832.704,28.455,8.129,6064
30,mobilenet_v3_small,ImageNet,2,128,1,,DCGAN,LSUN,2,64,0,3416.385,32.919,9.455,5140
31,mobilenet_v3_small,ImageNet,2,128,1,,DCGAN,LSUN,2,64,1,2985.511,23.589,5.453,5494
32,mobilenet_v3_small,ImageNet,2,128,0,5428.842,DCGAN,LSUN,2,128,0,6010.456,46.295,14.021,6400
33,mobilenet_v3_small,ImageNet,2,128,0,5131.355,DCGAN,LSUN,2,128,1,6141.808,33.072,9.598,5828
34,mobilenet_v3_small,ImageNet,2,128,1,4131.521,DCGAN,LSUN,2,128,0,6025.895,43.421,14.021,5768
35,mobilenet_v3_small,ImageNet,2,128,1,4773.119,DCGAN,LSUN,2,128,1,5564.822,32.374,8.515,5258
