,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,PointNet,ShapeNet,2,32,0,272.13,PointNet,ShapeNet,2,32,0,273.886,11.241,8.446,6194
1,PointNet,ShapeNet,2,32,0,271.144,PointNet,ShapeNet,2,32,1,271.122,7.955,5.607,5880
2,PointNet,ShapeNet,2,32,1,271.338,PointNet,ShapeNet,2,32,1,275.246,6.148,4.284,5450
3,PointNet,ShapeNet,2,32,0,273.761,PointNet,ShapeNet,2,64,0,262.862,10.325,8.265,7182
4,PointNet,ShapeNet,2,32,0,272.921,PointNet,ShapeNet,2,64,1,272.273,6.805,5.325,6466
5,PointNet,ShapeNet,2,32,1,266.726,PointNet,ShapeNet,2,64,0,270.246,9.063,6.987,6814
6,PointNet,ShapeNet,2,32,1,279.457,PointNet,ShapeNet,2,64,1,273.614,7.013,5.139,6084
7,PointNet,ShapeNet,2,32,0,267.015,PointNet,ShapeNet,2,128,0,263.334,8.079,6.349,9458
8,PointNet,ShapeNet,2,32,0,274.685,PointNet,ShapeNet,2,128,1,265.26,8.762,6.587,7642
9,PointNet,ShapeNet,2,32,1,277.865,PointNet,ShapeNet,2,128,0,266.949,5.972,4.465,8986
10,PointNet,ShapeNet,2,32,1,264.278,PointNet,ShapeNet,2,128,1,265.195,5.4,3.769,7266
11,PointNet,ShapeNet,2,64,0,278.078,PointNet,ShapeNet,2,64,0,278.665,11.81,8.835,8178
12,PointNet,ShapeNet,2,64,0,278.365,PointNet,ShapeNet,2,64,1,274.42,6.316,4.848,7448
13,PointNet,ShapeNet,2,64,1,266.325,PointNet,ShapeNet,2,64,1,267.582,6.616,4.863,6674
14,PointNet,ShapeNet,2,64,0,269.22,PointNet,ShapeNet,2,128,0,262.069,11.508,8.769,10432
15,PointNet,ShapeNet,2,64,0,281.396,PointNet,ShapeNet,2,128,1,263.662,7.042,5.085,8630
16,PointNet,ShapeNet,2,64,1,273.794,PointNet,ShapeNet,2,128,0,263.085,6.015,4.908,9670
17,PointNet,ShapeNet,2,64,1,279.129,PointNet,ShapeNet,2,128,1,279.293,6.8,5.077,7872
18,PointNet,ShapeNet,2,128,0,257.656,PointNet,ShapeNet,2,128,0,268.464,7.58,6.377,12698
19,PointNet,ShapeNet,2,128,0,265.677,PointNet,ShapeNet,2,128,1,260.473,6.731,5.119,10884
20,PointNet,ShapeNet,2,128,1,268.676,PointNet,ShapeNet,2,128,1,265.979,6.219,5.315,9152
