,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,2,32,0,1837.696,PointNet,ShapeNet,2,32,0,260.973,31.779,11.789,5450
1,ResNet18,CIFAR-10,2,32,0,1823.349,PointNet,ShapeNet,2,32,1,255.807,29.629,9.99,5082
2,ResNet18,CIFAR-10,2,32,1,1610.799,PointNet,ShapeNet,2,32,0,270.426,27.699,10.204,5446
3,ResNet18,CIFAR-10,2,32,1,1633.583,PointNet,ShapeNet,2,32,1,267.307,26.716,9.042,5080
4,ResNet18,CIFAR-10,2,32,0,1748.792,PointNet,ShapeNet,2,64,0,275.217,28.484,11.14,6370
5,ResNet18,CIFAR-10,2,32,0,1756.266,PointNet,ShapeNet,2,64,1,278.144,28.618,10.685,5668
6,ResNet18,CIFAR-10,2,32,1,1699.443,PointNet,ShapeNet,2,64,0,263.498,28.516,11.409,6394
7,ResNet18,CIFAR-10,2,32,1,1633.318,PointNet,ShapeNet,2,64,1,270.852,25.345,9.126,5690
8,ResNet18,CIFAR-10,2,32,0,1688.985,PointNet,ShapeNet,2,128,0,266.09,25.848,10.43,8616
9,ResNet18,CIFAR-10,2,32,0,1755.79,PointNet,ShapeNet,2,128,1,262.372,24.937,8.924,6898
10,ResNet18,CIFAR-10,2,32,1,1643.374,PointNet,ShapeNet,2,128,0,249.957,25.494,9.649,8600
11,ResNet18,CIFAR-10,2,32,1,1617.356,PointNet,ShapeNet,2,128,1,267.212,22.57,7.759,6886
12,ResNet18,CIFAR-10,2,64,0,3424.893,PointNet,ShapeNet,2,32,0,265.3,37.02,17.0,5590
13,ResNet18,CIFAR-10,2,64,0,3448.581,PointNet,ShapeNet,2,32,1,256.36,35.03,14.737,5154
14,ResNet18,CIFAR-10,2,64,1,3359.756,PointNet,ShapeNet,2,32,0,254.097,31.021,13.031,5440
15,ResNet18,CIFAR-10,2,64,1,3307.397,PointNet,ShapeNet,2,32,1,248.624,29.897,11.103,5058
16,ResNet18,CIFAR-10,2,64,0,3594.127,PointNet,ShapeNet,2,64,0,275.853,37.813,17.198,6512
17,ResNet18,CIFAR-10,2,64,0,3567.518,PointNet,ShapeNet,2,64,1,249.687,33.516,14.154,5782
18,ResNet18,CIFAR-10,2,64,1,3386.665,PointNet,ShapeNet,2,64,0,275.627,31.198,13.516,6386
19,ResNet18,CIFAR-10,2,64,1,3342.762,PointNet,ShapeNet,2,64,1,251.287,28.432,11.011,5684
20,ResNet18,CIFAR-10,2,64,0,3477.978,PointNet,ShapeNet,2,128,0,247.507,32.068,13.712,8646
21,ResNet18,CIFAR-10,2,64,0,3629.061,PointNet,ShapeNet,2,128,1,264.105,33.974,14.987,6940
22,ResNet18,CIFAR-10,2,64,1,3132.702,PointNet,ShapeNet,2,128,0,265.037,26.688,11.688,8696
