Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
43,MobileNetV3,ImageNet,1,32,1,1034.945,MobileNetV2,CIFAR-10,1,64,1,1693.903,48.36,17.427,4950
44,MobileNetV3,ImageNet,1,32,0,1191.691,MobileNetV2,CIFAR-10,1,128,0,3063.489,97.347,61.507,6690
45,MobileNetV3,ImageNet,1,32,0,1334.577,MobileNetV2,CIFAR-10,1,128,1,2758.061,63.986,31.775,5662
46,MobileNetV3,ImageNet,1,32,1,933.829,MobileNetV2,CIFAR-10,1,128,0,3218.9,96.373,62.253,6500
47,MobileNetV3,ImageNet,1,32,1,1003.72,MobileNetV2,CIFAR-10,1,128,1,2822.576,65.0,29.986,5404
48,MobileNetV3,ImageNet,1,64,0,2415.943,MobileNetV2,CIFAR-10,1,32,0,957.131,51.96,24.307,5796
49,MobileNetV3,ImageNet,1,64,0,2437.809,MobileNetV2,CIFAR-10,1,32,1,771.363,43.528,14.861,5608
50,MobileNetV3,ImageNet,1,64,1,1858.09,MobileNetV2,CIFAR-10,1,32,0,909.068,45.945,18.329,5236
51,MobileNetV3,ImageNet,1,64,1,1876.944,MobileNetV2,CIFAR-10,1,32,1,847.183,40.164,11.123,5048
52,MobileNetV3,ImageNet,1,64,0,2066.498,MobileNetV2,CIFAR-10,1,64,0,1882.894,70.355,41.566,6266
53,MobileNetV3,ImageNet,1,64,0,2381.839,MobileNetV2,CIFAR-10,1,64,1,1551.491,52.247,22.342,5850
54,MobileNetV3,ImageNet,1,64,1,1824.365,MobileNetV2,CIFAR-10,1,64,0,1858.31,67.72,36.307,5738
55,MobileNetV3,ImageNet,1,64,1,1892.223,MobileNetV2,CIFAR-10,1,64,1,1553.063,47.917,18.25,5332
56,MobileNetV3,ImageNet,1,64,0,1629.415,MobileNetV2,CIFAR-10,1,128,0,2993.429,96.933,60.467,7288
57,MobileNetV3,ImageNet,1,64,0,2160.512,MobileNetV2,CIFAR-10,1,128,1,2638.919,65.662,34.901,6492
58,MobileNetV3,ImageNet,1,64,1,1637.247,MobileNetV2,CIFAR-10,1,128,0,3064.17,96.707,60.0,6720
59,MobileNetV3,ImageNet,1,64,1,1888.606,MobileNetV2,CIFAR-10,1,128,1,2791.27,68.243,31.622,5762
60,MobileNetV3,ImageNet,1,128,0,2740.698,MobileNetV2,CIFAR-10,1,32,0,873.221,50.74,25.247,6980
61,MobileNetV3,ImageNet,1,128,0,2979.542,MobileNetV2,CIFAR-10,1,32,1,773.006,45.845,17.845,6770
62,MobileNetV3,ImageNet,1,128,1,3137.797,MobileNetV2,CIFAR-10,1,32,0,1001.405,51.853,23.187,5848
63,MobileNetV3,ImageNet,1,128,1,3410.022,MobileNetV2,CIFAR-10,1,32,1,810.897,44.466,14.178,5558
64,MobileNetV3,ImageNet,1,128,0,2498.863,MobileNetV2,CIFAR-10,1,64,0,1758.522,69.986,41.757,7450
65,MobileNetV3,ImageNet,1,128,0,2669.613,MobileNetV2,CIFAR-10,1,64,1,1552.247,57.137,25.123,7028
66,MobileNetV3,ImageNet,1,128,1,2628.913,MobileNetV2,CIFAR-10,1,64,0,1922.042,72.636,38.922,6248
67,MobileNetV3,ImageNet,1,128,1,3021.494,MobileNetV2,CIFAR-10,1,64,1,1436.612,50.153,19.319,5884
68,MobileNetV3,ImageNet,1,128,0,2056.059,MobileNetV2,CIFAR-10,1,128,0,2779.714,96.699,61.315,8436
69,MobileNetV3,ImageNet,1,128,0,2503.148,MobileNetV2,CIFAR-10,1,128,1,2625.402,67.826,32.884,7620
70,MobileNetV3,ImageNet,1,128,1,2297.136,MobileNetV2,CIFAR-10,1,128,0,3046.388,96.267,61.32,7298
71,MobileNetV3,ImageNet,1,128,1,2656.643,MobileNetV2,CIFAR-10,1,128,1,2716.249,70.186,31.5,6298
72,MobileNetV3,ImageNet,1,32,0,1221.324,EfficientNetB0,CIFAR-10,1,32,0,837.389,35.027,6.986,5024
73,MobileNetV3,ImageNet,1,32,0,1398.902,EfficientNetB0,CIFAR-10,1,32,1,640.535,30.315,6.123,4892
74,MobileNetV3,ImageNet,1,32,1,1006.768,EfficientNetB0,CIFAR-10,1,32,0,768.006,30.438,4.644,4706
75,MobileNetV3,ImageNet,1,32,1,997.078,EfficientNetB0,CIFAR-10,1,32,1,663.729,28.041,3.068,4580
76,MobileNetV3,ImageNet,1,32,0,1331.723,EfficientNetB0,CIFAR-10,1,64,0,1550.037,40.205,10.849,5482
77,MobileNetV3,ImageNet,1,32,0,1324.491,EfficientNetB0,CIFAR-10,1,64,1,1258.644,33.795,7.397,5006
78,MobileNetV3,ImageNet,1,32,1,977.431,EfficientNetB0,CIFAR-10,1,64,0,1524.872,37.123,7.849,5144
79,MobileNetV3,ImageNet,1,32,1,992.174,EfficientNetB0,CIFAR-10,1,64,1,1243.607,30.681,4.833,4694
80,MobileNetV3,ImageNet,1,32,0,1362.835,EfficientNetB0,CIFAR-10,1,128,0,3156.897,52.883,19.39,5296
81,MobileNetV3,ImageNet,1,32,0,1436.105,EfficientNetB0,CIFAR-10,1,128,1,2458.225,42.493,11.096,5074
82,MobileNetV3,ImageNet,1,32,1,976.104,EfficientNetB0,CIFAR-10,1,128,0,3092.792,47.827,16.813,5008
83,MobileNetV3,ImageNet,1,32,1,980.483,EfficientNetB0,CIFAR-10,1,128,1,2499.467,38.333,8.611,4786
84,MobileNetV3,ImageNet,1,64,0,2553.181,EfficientNetB0,CIFAR-10,1,32,0,809.943,40.863,12.616,5596
85,MobileNetV3,ImageNet,1,64,0,2451.172,EfficientNetB0,CIFAR-10,1,32,1,649.075,36.083,10.097,5464
86,MobileNetV3,ImageNet,1,64,1,1878.389,EfficientNetB0,CIFAR-10,1,32,0,818.053,35.301,6.959,5036
87,MobileNetV3,ImageNet,1,64,1,1941.817,EfficientNetB0,CIFAR-10,1,32,1,676.416,32.068,5.945,4904
88,MobileNetV3,ImageNet,1,64,0,2356.248,EfficientNetB0,CIFAR-10,1,64,0,1469.771,44.613,16.667,6082
89,MobileNetV3,ImageNet,1,64,0,2525.98,EfficientNetB0,CIFAR-10,1,64,1,1375.393,42.083,11.375,5580
90,MobileNetV3,ImageNet,1,64,1,1834.853,EfficientNetB0,CIFAR-10,1,64,0,1617.491,41.932,10.904,5494
91,MobileNetV3,ImageNet,1,64,1,1907.889,EfficientNetB0,CIFAR-10,1,64,1,1372.313,36.616,7.0,5020
92,MobileNetV3,ImageNet,1,64,0,2195.304,EfficientNetB0,CIFAR-10,1,128,0,3087.605,55.197,22.658,5868
93,MobileNetV3,ImageNet,1,64,0,2452.292,EfficientNetB0,CIFAR-10,1,128,1,2687.273,49.753,16.26,5646
94,MobileNetV3,ImageNet,1,64,1,1880.347,EfficientNetB0,CIFAR-10,1,128,0,3116.017,52.324,18.878,5308
95,MobileNetV3,ImageNet,1,64,1,1931.02,EfficientNetB0,CIFAR-10,1,128,1,2463.971,42.068,10.685,5086
96,MobileNetV3,ImageNet,1,128,0,3101.434,EfficientNetB0,CIFAR-10,1,32,0,772.902,42.792,15.153,6758
97,MobileNetV3,ImageNet,1,128,0,3176.739,EfficientNetB0,CIFAR-10,1,32,1,635.186,40.639,13.792,6626
98,MobileNetV3,ImageNet,1,128,1,3429.797,EfficientNetB0,CIFAR-10,1,32,0,772.167,39.806,10.069,5546
99,MobileNetV3,ImageNet,1,128,1,3393.806,EfficientNetB0,CIFAR-10,1,32,1,668.936,38.5,8.986,5412
100,MobileNetV3,ImageNet,1,128,0,2981.754,EfficientNetB0,CIFAR-10,1,64,0,1527.302,49.833,19.056,7216
101,MobileNetV3,ImageNet,1,128,0,3124.677,EfficientNetB0,CIFAR-10,1,64,1,1448.653,47.054,15.703,6740
102,MobileNetV3,ImageNet,1,128,1,3364.07,EfficientNetB0,CIFAR-10,1,64,0,1599.344,48.473,14.378,6004
103,MobileNetV3,ImageNet,1,128,1,3370.547,EfficientNetB0,CIFAR-10,1,64,1,1328.818,41.264,10.111,5528
104,MobileNetV3,ImageNet,1,128,0,2765.93,EfficientNetB0,CIFAR-10,1,128,0,2782.072,53.653,23.736,7030
105,MobileNetV3,ImageNet,1,128,0,2967.067,EfficientNetB0,CIFAR-10,1,128,1,2495.67,49.817,17.789,6808
106,MobileNetV3,ImageNet,1,128,1,3152.566,EfficientNetB0,CIFAR-10,1,128,0,3082.763,54.447,20.763,5818
107,MobileNetV3,ImageNet,1,128,1,3223.744,EfficientNetB0,CIFAR-10,1,128,1,2697.057,48.5,13.014,5596
108,MobileNetV3,ImageNet,1,32,0,1244.933,VGG,CIFAR-10,1,32,0,2989.76,47.707,24.693,6102
109,MobileNetV3,ImageNet,1,32,0,1276.975,VGG,CIFAR-10,1,32,1,2407.144,36.644,17.836,5478
110,MobileNetV3,ImageNet,1,32,1,978.002,VGG,CIFAR-10,1,32,0,2854.677,41.178,20.219,5790
111,MobileNetV3,ImageNet,1,32,1,965.411,VGG,CIFAR-10,1,32,1,2557.974,37.757,16.446,5194
112,MobileNetV3,ImageNet,1,32,0,1484.403,VGG,CIFAR-10,1,64,0,5708.565,57.066,34.882,6300
113,MobileNetV3,ImageNet,1,32,0,1361.189,VGG,CIFAR-10,1,64,1,4728.051,43.548,20.918,6304
114,MobileNetV3,ImageNet,1,32,1,973.834,VGG,CIFAR-10,1,64,0,5536.012,54.108,30.108,5988
115,MobileNetV3,ImageNet,1,32,1,975.288,VGG,CIFAR-10,1,64,1,4851.824,42.493,19.685,5992
116,MobileNetV3,ImageNet,1,32,0,1376.838,VGG,CIFAR-10,1,128,0,7981.063,58.829,37.474,6706
117,MobileNetV3,ImageNet,1,32,0,1498.367,VGG,CIFAR-10,1,128,1,7528.413,47.973,24.946,5382
