,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,321.573,DCGAN,LSUN,1,32,0,1100.989,100.0,73.079,7494
1,resnet50,ImageNet,1,32,0,373.937,DCGAN,LSUN,1,32,1,1131.625,100.0,78.16,8192
2,resnet50,ImageNet,1,32,1,454.184,DCGAN,LSUN,1,32,0,1516.979,99.904,65.945,6370
3,resnet50,ImageNet,1,32,1,531.691,DCGAN,LSUN,1,32,1,1235.701,99.432,69.568,6590
4,resnet50,ImageNet,1,32,0,294.396,DCGAN,LSUN,1,64,0,1744.692,100.0,70.227,7554
5,resnet50,ImageNet,1,32,0,320.902,DCGAN,LSUN,1,64,1,1583.253,100.0,70.921,7924
6,resnet50,ImageNet,1,32,1,408.275,DCGAN,LSUN,1,64,0,2453.129,99.784,66.541,6904
7,resnet50,ImageNet,1,32,1,487.844,DCGAN,LSUN,1,64,1,2098.941,99.392,66.257,6192
8,resnet50,ImageNet,1,32,0,236.591,DCGAN,LSUN,1,128,0,2645.11,100.0,67.211,8636
9,resnet50,ImageNet,1,32,0,289.342,DCGAN,LSUN,1,128,1,2699.154,100.0,67.566,7702
10,resnet50,ImageNet,1,32,1,295.613,DCGAN,LSUN,1,128,0,3044.206,99.931,57.819,7044
11,resnet50,ImageNet,1,32,1,466.885,DCGAN,LSUN,1,128,1,3568.304,99.56,72.067,6534
12,mobilenet_v3_small,ImageNet,1,32,0,1209.007,DCGAN,LSUN,1,32,0,1677.793,82.707,42.52,5174
13,mobilenet_v3_small,ImageNet,1,32,0,1093.259,DCGAN,LSUN,1,32,1,1415.421,63.303,30.461,5470
14,mobilenet_v3_small,ImageNet,1,32,1,903.942,DCGAN,LSUN,1,32,0,1911.992,85.76,30.72,4862
15,mobilenet_v3_small,ImageNet,1,32,1,918.625,DCGAN,LSUN,1,32,1,1392.718,56.627,19.893,5134
16,mobilenet_v3_small,ImageNet,1,32,0,1194.606,DCGAN,LSUN,1,64,0,2791.226,98.427,48.027,5260
17,mobilenet_v3_small,ImageNet,1,32,0,1109.939,DCGAN,LSUN,1,64,1,2667.966,73.04,35.96,5046
18,mobilenet_v3_small,ImageNet,1,32,1,909.651,DCGAN,LSUN,1,64,0,3034.445,89.013,38.187,4976
19,mobilenet_v3_small,ImageNet,1,32,1,909.05,DCGAN,LSUN,1,64,1,2753.503,67.122,25.649,4734
20,mobilenet_v3_small,ImageNet,1,32,0,821.867,DCGAN,LSUN,1,128,0,3511.845,98.662,45.221,5812
21,mobilenet_v3_small,ImageNet,1,32,0,1100.447,DCGAN,LSUN,1,128,1,4505.642,79.316,42.592,5406
22,mobilenet_v3_small,ImageNet,1,32,1,818.769,DCGAN,LSUN,1,128,0,3842.196,96.054,41.581,5518
23,mobilenet_v3_small,ImageNet,1,32,1,943.777,DCGAN,LSUN,1,128,1,4553.43,75.041,32.622,5122
24,mobilenet_v3_small,ImageNet,1,64,0,1902.611,DCGAN,LSUN,1,32,0,1601.298,99.627,56.533,5746
