,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,DCGAN,LSUN,1,32,0,1509.771,LSTM,Wikitext2,1,64,0,3611.125,100.0,71.528,6364
1,DCGAN,LSUN,1,32,0,1659.636,LSTM,Wikitext2,1,64,1,3835.642,94.686,69.118,6230
2,DCGAN,LSUN,1,32,1,1298.644,LSTM,Wikitext2,1,64,0,4088.74,100.0,77.4,6636
3,DCGAN,LSUN,1,32,1,1320.56,LSTM,Wikitext2,1,64,1,4175.741,82.815,64.833,6502
4,DCGAN,LSUN,1,32,0,1343.454,LSTM,Wikitext2,1,128,0,3567.436,94.417,70.104,8096
5,DCGAN,LSUN,1,32,0,1641.486,LSTM,Wikitext2,1,128,1,3940.937,87.98,64.898,8100
6,DCGAN,LSUN,1,32,1,1121.633,LSTM,Wikitext2,1,128,0,3691.442,83.94,66.18,8368
7,DCGAN,LSUN,1,32,1,1308.984,LSTM,Wikitext2,1,128,1,4011.324,76.4,59.08,8662
8,DCGAN,LSUN,1,64,0,2306.579,LSTM,Wikitext2,1,64,0,3368.352,100.0,74.037,6450
9,DCGAN,LSUN,1,64,0,2647.705,LSTM,Wikitext2,1,64,1,3750.651,98.019,71.296,6316
10,DCGAN,LSUN,1,64,1,2021.832,LSTM,Wikitext2,1,64,0,4030.609,100.0,76.796,6450
11,DCGAN,LSUN,1,64,1,2407.728,LSTM,Wikitext2,1,64,1,4035.914,87.6,66.782,6682
12,DCGAN,LSUN,1,64,0,2315.551,LSTM,Wikitext2,1,128,0,3409.623,98.542,72.396,8182
13,DCGAN,LSUN,1,64,0,2577.439,LSTM,Wikitext2,1,128,1,3878.478,95.333,69.392,7886
14,DCGAN,LSUN,1,64,1,2095.003,LSTM,Wikitext2,1,128,0,3696.685,88.74,68.96,7968
15,DCGAN,LSUN,1,64,1,2387.161,LSTM,Wikitext2,1,128,1,3960.85,83.78,61.62,7672
16,DCGAN,LSUN,1,128,0,2837.891,LSTM,Wikitext2,1,64,0,2935.984,100.0,70.321,7002
17,DCGAN,LSUN,1,128,0,3234.148,LSTM,Wikitext2,1,64,1,3217.519,98.491,68.226,6868
18,DCGAN,LSUN,1,128,1,3380.546,LSTM,Wikitext2,1,64,0,3804.21,100.0,77.75,6596
19,DCGAN,LSUN,1,128,1,4002.792,LSTM,Wikitext2,1,64,1,4081.873,93.611,72.074,6462
20,DCGAN,LSUN,1,128,0,2754.471,LSTM,Wikitext2,1,128,0,3185.32,99.388,71.694,8734
21,DCGAN,LSUN,1,128,0,2992.614,LSTM,Wikitext2,1,128,1,3816.882,98.48,71.34,8438
22,DCGAN,LSUN,1,128,1,3327.186,LSTM,Wikitext2,1,128,0,3593.899,92.28,73.26,8328
23,DCGAN,LSUN,1,128,1,3839.751,LSTM,Wikitext2,1,128,1,3864.162,87.72,67.28,8032
