,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,371.383,PointNet,ShapeNet,1,32,0,132.094,98.16,75.707,9352
1,resnet50,ImageNet,1,32,0,395.776,PointNet,ShapeNet,1,32,1,132.863,98.697,78.013,9012
2,resnet50,ImageNet,1,32,1,591.05,PointNet,ShapeNet,1,32,0,136.609,96.827,69.76,7828
3,resnet50,ImageNet,1,32,1,645.738,PointNet,ShapeNet,1,32,1,135.625,97.36,72.32,7194
4,resnet50,ImageNet,1,32,0,377.449,PointNet,ShapeNet,1,64,0,132.298,97.841,79.609,12668
5,resnet50,ImageNet,1,32,0,396.071,PointNet,ShapeNet,1,64,1,138.587,99.221,79.574,10072
6,resnet50,ImageNet,1,32,1,608.611,PointNet,ShapeNet,1,64,0,129.341,96.257,70.186,10206
7,resnet50,ImageNet,1,32,1,629.888,PointNet,ShapeNet,1,64,1,127.762,92.472,67.153,8366
8,resnet50,ImageNet,1,32,0,367.269,PointNet,ShapeNet,1,128,0,127.42,87.934,68.328,15858
9,resnet50,ImageNet,1,32,0,392.8,PointNet,ShapeNet,1,128,1,128.728,90.458,72.373,12438
10,resnet50,ImageNet,1,32,1,599.447,PointNet,ShapeNet,1,128,0,124.732,87.705,64.115,14394
11,resnet50,ImageNet,1,32,1,634.054,PointNet,ShapeNet,1,128,1,127.354,88.852,65.23,10836
12,mobilenet_v3_small,ImageNet,1,32,0,1276.783,PointNet,ShapeNet,1,32,0,132.368,56.48,29.92,6684
13,mobilenet_v3_small,ImageNet,1,32,0,1195.162,PointNet,ShapeNet,1,32,1,132.097,49.253,25.213,6050
14,mobilenet_v3_small,ImageNet,1,32,1,1013.627,PointNet,ShapeNet,1,32,0,133.951,44.933,18.36,6396
15,mobilenet_v3_small,ImageNet,1,32,1,1039.427,PointNet,ShapeNet,1,32,1,131.1,41.893,15.12,5790
16,mobilenet_v3_small,ImageNet,1,32,0,1492.466,PointNet,ShapeNet,1,64,0,133.558,62.958,31.831,9062
17,mobilenet_v3_small,ImageNet,1,32,0,1540.598,PointNet,ShapeNet,1,64,1,132.14,62.113,29.859,7248
18,mobilenet_v3_small,ImageNet,1,32,1,954.924,PointNet,ShapeNet,1,64,0,135.78,42.757,17.157,8750
19,mobilenet_v3_small,ImageNet,1,32,1,1027.022,PointNet,ShapeNet,1,64,1,137.527,40.191,14.338,6936
20,mobilenet_v3_small,ImageNet,1,32,0,1146.878,PointNet,ShapeNet,1,128,0,126.496,43.817,22.317,13190
21,mobilenet_v3_small,ImageNet,1,32,0,1461.414,PointNet,ShapeNet,1,128,1,126.345,54.9,25.867,9692
22,mobilenet_v3_small,ImageNet,1,32,1,969.903,PointNet,ShapeNet,1,128,0,125.499,40.333,16.883,12878
23,mobilenet_v3_small,ImageNet,1,32,1,975.684,PointNet,ShapeNet,1,128,1,123.029,35.321,11.821,9404
24,mobilenet_v3_small,ImageNet,1,64,0,2728.854,PointNet,ShapeNet,1,32,0,132.011,98.671,56.395,7256
25,mobilenet_v3_small,ImageNet,1,64,0,2883.678,PointNet,ShapeNet,1,32,1,133.633,97.811,55.865,6622
26,mobilenet_v3_small,ImageNet,1,64,1,1910.515,PointNet,ShapeNet,1,32,0,135.641,62.52,26.613,6730
27,mobilenet_v3_small,ImageNet,1,64,1,1893.216,PointNet,ShapeNet,1,32,1,134.477,57.653,23.627,6062
28,mobilenet_v3_small,ImageNet,1,64,0,2670.789,PointNet,ShapeNet,1,64,0,133.235,96.913,53.957,9634
29,mobilenet_v3_small,ImageNet,1,64,0,2886.846,PointNet,ShapeNet,1,64,1,133.828,94.493,53.0,7820
30,mobilenet_v3_small,ImageNet,1,64,1,1823.966,PointNet,ShapeNet,1,64,0,134.334,58.648,25.901,9074
31,mobilenet_v3_small,ImageNet,1,64,1,1920.57,PointNet,ShapeNet,1,64,1,131.844,57.465,22.915,7260
32,mobilenet_v3_small,ImageNet,1,64,0,2639.515,PointNet,ShapeNet,1,128,0,127.36,89.377,50.049,13762
33,mobilenet_v3_small,ImageNet,1,64,0,2828.478,PointNet,ShapeNet,1,128,1,127.253,87.066,49.656,10264
34,mobilenet_v3_small,ImageNet,1,64,1,1765.105,PointNet,ShapeNet,1,128,0,125.642,55.115,24.475,13202
35,mobilenet_v3_small,ImageNet,1,64,1,1875.624,PointNet,ShapeNet,1,128,1,127.331,53.983,22.383,9704
36,mobilenet_v3_small,ImageNet,1,128,0,2941.063,PointNet,ShapeNet,1,32,0,138.199,99.2,62.387,8418
37,mobilenet_v3_small,ImageNet,1,128,0,3168.349,PointNet,ShapeNet,1,32,1,132.698,99.054,63.216,7784
38,mobilenet_v3_small,ImageNet,1,128,1,3274.148,PointNet,ShapeNet,1,32,0,134.2,89.733,42.373,7702
39,mobilenet_v3_small,ImageNet,1,128,1,3325.315,PointNet,ShapeNet,1,32,1,136.755,91.96,37.76,6572
40,mobilenet_v3_small,ImageNet,1,128,0,2931.28,PointNet,ShapeNet,1,64,0,136.562,98.986,62.486,10796
41,mobilenet_v3_small,ImageNet,1,128,0,3105.151,PointNet,ShapeNet,1,64,1,133.273,97.114,61.343,8982
42,mobilenet_v3_small,ImageNet,1,128,1,3265.527,PointNet,ShapeNet,1,64,0,136.419,90.25,40.861,10366
43,mobilenet_v3_small,ImageNet,1,128,1,3200.528,PointNet,ShapeNet,1,64,1,137.988,89.071,37.014,7770
44,mobilenet_v3_small,ImageNet,1,128,0,2930.504,PointNet,ShapeNet,1,128,0,127.037,87.597,55.081,14924
45,mobilenet_v3_small,ImageNet,1,128,0,3120.207,PointNet,ShapeNet,1,128,1,126.917,87.754,54.59,11426
