,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,1,32,0,2241.268,PointNet,ShapeNet,1,32,0,125.711,76.068,46.041,6380
1,ResNet18,CIFAR-10,1,32,0,2088.156,PointNet,ShapeNet,1,32,1,135.849,62.411,36.274,5836
2,ResNet18,CIFAR-10,1,32,1,1863.731,PointNet,ShapeNet,1,32,0,131.268,54.36,33.093,6320
3,ResNet18,CIFAR-10,1,32,1,1963.064,PointNet,ShapeNet,1,32,1,133.909,53.164,29.082,5686
4,ResNet18,CIFAR-10,1,32,0,2054.27,PointNet,ShapeNet,1,64,0,134.376,65.955,37.955,9292
5,ResNet18,CIFAR-10,1,32,0,2262.692,PointNet,ShapeNet,1,64,1,132.841,87.71,40.551,6928
6,ResNet18,CIFAR-10,1,32,1,1837.092,PointNet,ShapeNet,1,64,0,131.104,48.382,28.176,8698
7,ResNet18,CIFAR-10,1,32,1,1835.632,PointNet,ShapeNet,1,64,1,128.306,44.618,25.603,6884
8,ResNet18,CIFAR-10,1,32,0,1983.729,PointNet,ShapeNet,1,128,0,126.544,59.217,35.167,12856
9,ResNet18,CIFAR-10,1,32,0,2340.003,PointNet,ShapeNet,1,128,1,124.84,66.036,36.073,9628
10,ResNet18,CIFAR-10,1,32,1,1753.721,PointNet,ShapeNet,1,128,0,126.914,46.333,27.45,12826
11,ResNet18,CIFAR-10,1,32,1,1707.073,PointNet,ShapeNet,1,128,1,119.221,37.509,20.93,9328
12,ResNet18,CIFAR-10,1,64,0,3407.402,PointNet,ShapeNet,1,32,0,134.089,92.689,55.486,6650
13,ResNet18,CIFAR-10,1,64,0,3509.552,PointNet,ShapeNet,1,32,1,127.527,91.74,54.822,6342
14,ResNet18,CIFAR-10,1,64,1,3301.269,PointNet,ShapeNet,1,32,0,129.965,67.569,42.708,7632
15,ResNet18,CIFAR-10,1,64,1,3321.148,PointNet,ShapeNet,1,32,1,128.024,60.417,34.069,7002
16,ResNet18,CIFAR-10,1,64,0,3638.595,PointNet,ShapeNet,1,64,0,134.146,89.87,61.043,9028
17,ResNet18,CIFAR-10,1,64,0,3901.546,PointNet,ShapeNet,1,64,1,127.883,88.714,60.786,8102
18,ResNet18,CIFAR-10,1,64,1,3052.858,PointNet,ShapeNet,1,64,0,133.404,59.958,34.676,8956
19,ResNet18,CIFAR-10,1,64,1,3604.955,PointNet,ShapeNet,1,64,1,132.093,65.429,36.943,8196
20,ResNet18,CIFAR-10,1,64,0,3469.815,PointNet,ShapeNet,1,128,0,114.213,75.475,51.22,13156
21,ResNet18,CIFAR-10,1,64,0,3971.636,PointNet,ShapeNet,1,128,1,125.352,82.984,56.803,9658
22,ResNet18,CIFAR-10,1,64,1,3386.065,PointNet,ShapeNet,1,128,0,120.297,61.088,34.316,14138
23,ResNet18,CIFAR-10,1,64,1,3580.228,PointNet,ShapeNet,1,128,1,127.018,58.317,33.167,10642
