,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,1,32,0,1364.814,LSTM,Wikitext2,1,64,0,3658.672,100.0,76.473,6266
1,ResNet18,CIFAR-10,1,32,0,1587.484,LSTM,Wikitext2,1,64,1,4003.347,93.87,74.648,6132
2,ResNet18,CIFAR-10,1,32,1,1176.329,LSTM,Wikitext2,1,64,0,4008.52,100.0,79.226,6236
3,ResNet18,CIFAR-10,1,32,1,1311.568,LSTM,Wikitext2,1,64,1,4218.732,86.6,70.018,6102
4,ResNet18,CIFAR-10,1,32,0,1384.946,LSTM,Wikitext2,1,128,0,3575.806,93.46,73.84,8028
5,ResNet18,CIFAR-10,1,32,0,1603.947,LSTM,Wikitext2,1,128,1,4037.316,88.941,71.176,7708
6,ResNet18,CIFAR-10,1,32,1,1137.982,LSTM,Wikitext2,1,128,0,3689.461,87.14,70.06,7968
7,ResNet18,CIFAR-10,1,32,1,1302.266,LSTM,Wikitext2,1,128,1,4095.313,77.6,63.22,7672
8,ResNet18,CIFAR-10,1,64,0,2169.052,LSTM,Wikitext2,1,64,0,3360.812,100.0,80.648,6566
9,ResNet18,CIFAR-10,1,64,0,2585.465,LSTM,Wikitext2,1,64,1,3740.306,97.774,81.075,6432
10,ResNet18,CIFAR-10,1,64,1,1985.17,LSTM,Wikitext2,1,64,0,3875.126,100.0,79.698,7550
11,ResNet18,CIFAR-10,1,64,1,2369.392,LSTM,Wikitext2,1,64,1,4046.274,89.815,71.296,7414
12,ResNet18,CIFAR-10,1,64,0,2254.616,LSTM,Wikitext2,1,128,0,3390.278,97.146,79.438,8300
13,ResNet18,CIFAR-10,1,64,0,2516.805,LSTM,Wikitext2,1,128,1,3875.67,95.3,79.76,8002
14,ResNet18,CIFAR-10,1,64,1,2114.595,LSTM,Wikitext2,1,128,0,3654.121,92.146,74.125,9284
15,ResNet18,CIFAR-10,1,64,1,2317.706,LSTM,Wikitext2,1,128,1,3923.914,83.42,66.6,8984
16,ResNet18,CIFAR-10,1,128,0,2866.304,LSTM,Wikitext2,1,64,0,3109.937,100.0,82.365,6978
17,ResNet18,CIFAR-10,1,128,0,3370.028,LSTM,Wikitext2,1,64,1,3313.96,98.863,83.02,6844
18,ResNet18,CIFAR-10,1,128,1,3101.246,LSTM,Wikitext2,1,64,0,3626.31,100.0,80.604,7942
19,ResNet18,CIFAR-10,1,128,1,3550.362,LSTM,Wikitext2,1,64,1,3874.233,95.685,77.056,7808
20,ResNet18,CIFAR-10,1,128,0,2821.573,LSTM,Wikitext2,1,128,0,3277.281,98.625,82.375,9392
21,ResNet18,CIFAR-10,1,128,0,3028.92,LSTM,Wikitext2,1,128,1,3923.614,98.039,83.471,8414
22,ResNet18,CIFAR-10,1,128,1,3009.241,LSTM,Wikitext2,1,128,0,3535.774,94.673,77.163,9674
23,ResNet18,CIFAR-10,1,128,1,3570.242,LSTM,Wikitext2,1,128,1,3835.271,92.46,73.76,9378
24,MobileNetV2,CIFAR-10,1,32,0,754.764,LSTM,Wikitext2,1,64,0,3965.07,100.0,77.446,6414
25,MobileNetV2,CIFAR-10,1,32,0,951.372,LSTM,Wikitext2,1,64,1,4062.681,93.222,68.944,6280
26,MobileNetV2,CIFAR-10,1,32,1,697.43,LSTM,Wikitext2,1,64,0,4107.502,100.0,74.691,6226
27,MobileNetV2,CIFAR-10,1,32,1,763.625,LSTM,Wikitext2,1,64,1,4239.528,84.472,62.642,6092
28,MobileNetV2,CIFAR-10,1,32,0,795.059,LSTM,Wikitext2,1,128,0,3683.621,93.94,70.98,8146
29,MobileNetV2,CIFAR-10,1,32,0,929.103,LSTM,Wikitext2,1,128,1,4019.229,87.471,65.02,7850
30,MobileNetV2,CIFAR-10,1,32,1,618.708,LSTM,Wikitext2,1,128,0,3681.217,85.04,64.7,7958
31,MobileNetV2,CIFAR-10,1,32,1,703.461,LSTM,Wikitext2,1,128,1,4138.555,76.98,58.216,7662
32,MobileNetV2,CIFAR-10,1,64,0,1322.031,LSTM,Wikitext2,1,64,0,3629.379,100.0,79.111,6916
33,MobileNetV2,CIFAR-10,1,64,0,1574.199,LSTM,Wikitext2,1,64,1,3945.191,98.855,78.309,6782
34,MobileNetV2,CIFAR-10,1,64,1,1150.173,LSTM,Wikitext2,1,64,0,3946.217,100.0,76.527,6466
35,MobileNetV2,CIFAR-10,1,64,1,1377.048,LSTM,Wikitext2,1,64,1,4246.174,92.218,69.6,6332
36,MobileNetV2,CIFAR-10,1,64,0,1289.817,LSTM,Wikitext2,1,128,0,3579.519,96.49,76.714,8648
37,MobileNetV2,CIFAR-10,1,64,0,1559.41,LSTM,Wikitext2,1,128,1,3920.226,95.26,74.82,8352
38,MobileNetV2,CIFAR-10,1,64,1,1136.366,LSTM,Wikitext2,1,128,0,3697.69,90.7,69.28,8198
39,MobileNetV2,CIFAR-10,1,64,1,1336.427,LSTM,Wikitext2,1,128,1,4110.854,84.824,64.314,7902
40,MobileNetV2,CIFAR-10,1,128,0,1788.933,LSTM,Wikitext2,1,64,0,3145.495,100.0,78.574,7984
41,MobileNetV2,CIFAR-10,1,128,0,2155.1,LSTM,Wikitext2,1,64,1,3554.594,99.036,81.491,8822
42,MobileNetV2,CIFAR-10,1,128,1,1855.241,LSTM,Wikitext2,1,64,0,3755.857,100.0,78.926,6898
43,MobileNetV2,CIFAR-10,1,128,1,2084.834,LSTM,Wikitext2,1,64,1,4034.162,95.945,74.164,6764
44,MobileNetV2,CIFAR-10,1,128,0,1986.058,LSTM,Wikitext2,1,128,0,3173.873,99.417,81.188,9716
45,MobileNetV2,CIFAR-10,1,128,0,2006.381,LSTM,Wikitext2,1,128,1,3916.657,98.706,81.961,9420
46,MobileNetV2,CIFAR-10,1,128,1,1828.63,LSTM,Wikitext2,1,128,0,3612.627,94.24,73.8,8630
47,MobileNetV2,CIFAR-10,1,128,1,2024.283,LSTM,Wikitext2,1,128,1,3938.763,89.558,69.096,8858
48,EfficientNetB0,CIFAR-10,1,32,0,706.647,LSTM,Wikitext2,1,64,0,4265.692,100.0,74.327,6214
49,EfficientNetB0,CIFAR-10,1,32,0,732.434,LSTM,Wikitext2,1,64,1,4280.479,83.782,59.891,6080
50,EfficientNetB0,CIFAR-10,1,32,1,609.693,LSTM,Wikitext2,1,64,0,4250.374,100.0,72.691,6082
51,EfficientNetB0,CIFAR-10,1,32,1,610.992,LSTM,Wikitext2,1,64,1,4325.926,81.127,59.073,5948
52,EfficientNetB0,CIFAR-10,1,32,0,705.824,LSTM,Wikitext2,1,128,0,3766.24,87.796,63.51,7946
53,EfficientNetB0,CIFAR-10,1,32,0,797.839,LSTM,Wikitext2,1,128,1,4062.108,79.173,55.038,7650
54,EfficientNetB0,CIFAR-10,1,32,1,545.055,LSTM,Wikitext2,1,128,0,3701.408,83.824,61.392,7814
55,EfficientNetB0,CIFAR-10,1,32,1,594.454,LSTM,Wikitext2,1,128,1,4179.927,73.765,54.725,7516
56,EfficientNetB0,CIFAR-10,1,64,0,1263.196,LSTM,Wikitext2,1,64,0,4071.035,100.0,73.818,6672
57,EfficientNetB0,CIFAR-10,1,64,0,1555.698,LSTM,Wikitext2,1,64,1,4240.511,89.545,63.273,6538
58,EfficientNetB0,CIFAR-10,1,64,1,1152.756,LSTM,Wikitext2,1,64,0,4170.216,100.0,72.909,6196
59,EfficientNetB0,CIFAR-10,1,64,1,1353.164,LSTM,Wikitext2,1,64,1,4424.148,87.564,62.382,6062
60,EfficientNetB0,CIFAR-10,1,64,0,1348.895,LSTM,Wikitext2,1,128,0,3705.567,91.02,65.4,8404
61,EfficientNetB0,CIFAR-10,1,64,0,1489.363,LSTM,Wikitext2,1,128,1,4125.52,82.627,58.765,8108
62,EfficientNetB0,CIFAR-10,1,64,1,1092.213,LSTM,Wikitext2,1,128,0,3752.534,86.56,63.26,7928
63,EfficientNetB0,CIFAR-10,1,64,1,1133.496,LSTM,Wikitext2,1,128,1,4175.527,76.314,55.686,7632
64,EfficientNetB0,CIFAR-10,1,128,0,2170.367,LSTM,Wikitext2,1,64,0,3881.722,100.0,74.604,6498
65,EfficientNetB0,CIFAR-10,1,128,0,2825.285,LSTM,Wikitext2,1,64,1,4161.805,95.2,69.236,7180
66,EfficientNetB0,CIFAR-10,1,128,1,1967.051,LSTM,Wikitext2,1,64,0,4060.237,99.429,72.821,6544
67,EfficientNetB0,CIFAR-10,1,128,1,2200.637,LSTM,Wikitext2,1,64,1,4227.265,86.444,62.278,6130
68,EfficientNetB0,CIFAR-10,1,128,0,2343.388,LSTM,Wikitext2,1,128,0,3636.856,94.58,69.66,8698
69,EfficientNetB0,CIFAR-10,1,128,0,2801.87,LSTM,Wikitext2,1,128,1,4018.551,89.3,64.0,8404
70,EfficientNetB0,CIFAR-10,1,128,1,1978.429,LSTM,Wikitext2,1,128,0,3718.777,88.673,64.096,8888
71,EfficientNetB0,CIFAR-10,1,128,1,2201.633,LSTM,Wikitext2,1,128,1,4024.844,79.745,56.961,8606
72,VGG,CIFAR-10,1,32,0,2338.033,LSTM,Wikitext2,1,64,0,3905.185,100.0,78.893,7292
73,VGG,CIFAR-10,1,32,0,2833.48,LSTM,Wikitext2,1,64,1,4091.991,86.377,70.226,7158
74,VGG,CIFAR-10,1,32,1,2219.019,LSTM,Wikitext2,1,64,0,4085.784,100.0,78.774,6668
75,VGG,CIFAR-10,1,32,1,2383.069,LSTM,Wikitext2,1,64,1,4146.646,83.148,67.019,7688
