,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,418.193,PPO,LunarLander,1,32,0,4.195,88.257,66.514,7568
1,resnet50,ImageNet,1,32,1,653.28,PPO,LunarLander,1,32,0,4.583,95.206,67.952,5886
2,resnet50,ImageNet,1,32,0,421.128,PPO,LunarLander,1,64,0,11.839,100.0,79.328,7566
3,resnet50,ImageNet,1,32,1,667.876,PPO,LunarLander,1,64,0,12.499,87.105,59.447,5948
4,resnet50,ImageNet,1,32,0,423.489,PPO,LunarLander,1,128,0,28.124,98.357,77.557,7566
5,resnet50,ImageNet,1,32,1,678.036,PPO,LunarLander,1,128,0,36.788,93.227,65.627,5886
6,mobilenet_v3_small,ImageNet,1,32,0,1174.504,PPO,LunarLander,1,32,0,4.884,40.154,13.808,4742
7,mobilenet_v3_small,ImageNet,1,32,1,946.611,PPO,LunarLander,1,32,0,5.134,36.0,6.595,4430
8,mobilenet_v3_small,ImageNet,1,32,0,1296.692,PPO,LunarLander,1,64,0,13.292,48.918,18.329,4742
9,mobilenet_v3_small,ImageNet,1,32,1,920.765,PPO,LunarLander,1,64,0,14.168,34.9,6.325,4430
10,mobilenet_v3_small,ImageNet,1,32,0,1251.042,PPO,LunarLander,1,128,0,34.878,47.636,17.701,4742
11,mobilenet_v3_small,ImageNet,1,32,1,929.351,PPO,LunarLander,1,128,0,32.497,38.768,7.667,4430
12,mobilenet_v3_small,ImageNet,1,64,0,2499.227,PPO,LunarLander,1,32,0,4.424,74.231,37.908,5314
13,mobilenet_v3_small,ImageNet,1,64,1,1822.347,PPO,LunarLander,1,32,0,4.532,55.889,16.873,4754
14,mobilenet_v3_small,ImageNet,1,64,0,2302.37,PPO,LunarLander,1,64,0,13.085,71.37,35.096,5314
15,mobilenet_v3_small,ImageNet,1,64,1,1770.317,PPO,LunarLander,1,64,0,12.404,49.519,14.481,4754
16,mobilenet_v3_small,ImageNet,1,64,0,2654.457,PPO,LunarLander,1,128,0,34.95,81.564,41.423,5314
17,mobilenet_v3_small,ImageNet,1,64,1,1814.445,PPO,LunarLander,1,128,0,35.429,52.224,16.013,4754
18,mobilenet_v3_small,ImageNet,1,128,0,3316.073,PPO,LunarLander,1,32,0,4.163,86.043,50.333,6476
19,mobilenet_v3_small,ImageNet,1,128,1,3469.87,PPO,LunarLander,1,32,0,4.238,75.529,29.118,5324
20,mobilenet_v3_small,ImageNet,1,128,0,3305.379,PPO,LunarLander,1,64,0,11.281,96.246,57.275,6476
21,mobilenet_v3_small,ImageNet,1,128,1,3450.86,PPO,LunarLander,1,64,0,11.287,80.912,31.853,5264
22,mobilenet_v3_small,ImageNet,1,128,0,3319.888,PPO,LunarLander,1,128,0,30.844,90.442,53.792,6476
23,mobilenet_v3_small,ImageNet,1,128,1,3741.608,PPO,LunarLander,1,128,0,35.507,85.59,33.474,5264
