,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,216.767,resnet50,ImageNet,1,32,0,216.699,100.0,77.187,10292
1,resnet50,ImageNet,1,32,0,271.346,resnet50,ImageNet,1,32,1,256.785,100.0,74.527,9038
2,resnet50,ImageNet,1,32,1,369.591,resnet50,ImageNet,1,32,1,369.991,100.0,76.959,7940
3,resnet50,ImageNet,1,32,0,343.03,mobilenet_v3_small,ImageNet,1,32,0,819.167,100.0,74.872,8080
4,resnet50,ImageNet,1,32,0,366.365,mobilenet_v3_small,ImageNet,1,32,1,738.683,100.0,71.403,7842
5,resnet50,ImageNet,1,32,1,509.083,mobilenet_v3_small,ImageNet,1,32,0,1107.223,100.0,75.333,6674
6,resnet50,ImageNet,1,32,1,567.017,mobilenet_v3_small,ImageNet,1,32,1,901.393,99.08,70.187,6336
7,resnet50,ImageNet,1,32,0,300.022,mobilenet_v3_small,ImageNet,1,64,0,1042.668,100.0,69.0,8408
8,resnet50,ImageNet,1,32,0,331.311,mobilenet_v3_small,ImageNet,1,64,1,956.46,100.0,68.09,8068
9,resnet50,ImageNet,1,32,1,412.032,mobilenet_v3_small,ImageNet,1,64,0,1651.816,100.0,73.147,7232
10,resnet50,ImageNet,1,32,1,464.146,mobilenet_v3_small,ImageNet,1,64,1,1604.521,99.961,65.987,6634
11,resnet50,ImageNet,1,32,0,255.277,mobilenet_v3_small,ImageNet,1,128,0,1502.697,100.0,71.579,9870
12,resnet50,ImageNet,1,32,0,294.058,mobilenet_v3_small,ImageNet,1,128,1,1534.783,100.0,70.079,8592
13,resnet50,ImageNet,1,32,1,329.033,mobilenet_v3_small,ImageNet,1,128,0,2128.308,100.0,75.173,8360
14,resnet50,ImageNet,1,32,1,374.436,mobilenet_v3_small,ImageNet,1,128,1,2094.591,99.959,59.297,7336
15,mobilenet_v3_small,ImageNet,1,32,0,1165.996,mobilenet_v3_small,ImageNet,1,32,0,1084.253,74.026,38.117,5410
16,mobilenet_v3_small,ImageNet,1,32,0,1296.381,mobilenet_v3_small,ImageNet,1,32,1,914.357,73.103,30.615,5106
17,mobilenet_v3_small,ImageNet,1,32,1,934.11,mobilenet_v3_small,ImageNet,1,32,1,937.392,60.08,16.493,4752
18,mobilenet_v3_small,ImageNet,1,32,0,1194.533,mobilenet_v3_small,ImageNet,1,64,0,2220.023,99.789,60.592,6012
19,mobilenet_v3_small,ImageNet,1,32,0,1250.993,mobilenet_v3_small,ImageNet,1,64,1,1875.093,83.724,39.526,5350
20,mobilenet_v3_small,ImageNet,1,32,1,920.923,mobilenet_v3_small,ImageNet,1,64,0,2143.817,87.513,47.128,5700
21,mobilenet_v3_small,ImageNet,1,32,1,939.906,mobilenet_v3_small,ImageNet,1,64,1,1845.84,76.467,27.533,5138
22,mobilenet_v3_small,ImageNet,1,32,0,917.989,mobilenet_v3_small,ImageNet,1,128,0,2607.592,100.0,64.276,7146
23,mobilenet_v3_small,ImageNet,1,32,0,1122.459,mobilenet_v3_small,ImageNet,1,128,1,3030.644,96.934,49.553,6000
24,mobilenet_v3_small,ImageNet,1,32,1,864.255,mobilenet_v3_small,ImageNet,1,128,0,2912.146,100.0,61.803,6832
25,mobilenet_v3_small,ImageNet,1,32,1,939.537,mobilenet_v3_small,ImageNet,1,128,1,3167.19,94.453,41.253,5674
26,mobilenet_v3_small,ImageNet,1,64,0,1787.402,mobilenet_v3_small,ImageNet,1,64,0,1804.208,100.0,65.052,6578
27,mobilenet_v3_small,ImageNet,1,64,0,2234.103,mobilenet_v3_small,ImageNet,1,64,1,1663.0,99.662,56.727,5952
28,mobilenet_v3_small,ImageNet,1,64,1,1835.577,mobilenet_v3_small,ImageNet,1,64,1,1865.221,89.553,37.5,5486
29,mobilenet_v3_small,ImageNet,1,64,0,1468.557,mobilenet_v3_small,ImageNet,1,128,0,2213.343,100.0,67.842,7752
30,mobilenet_v3_small,ImageNet,1,64,0,1902.765,mobilenet_v3_small,ImageNet,1,128,1,2353.692,100.0,57.974,6504
31,mobilenet_v3_small,ImageNet,1,64,1,1320.258,mobilenet_v3_small,ImageNet,1,128,0,2638.705,100.0,61.568,7162
32,mobilenet_v3_small,ImageNet,1,64,1,1730.803,mobilenet_v3_small,ImageNet,1,128,1,2805.865,99.737,46.526,6088
33,mobilenet_v3_small,ImageNet,1,128,0,1891.511,mobilenet_v3_small,ImageNet,1,128,0,1892.754,100.0,70.628,8860
34,mobilenet_v3_small,ImageNet,1,128,0,2186.101,mobilenet_v3_small,ImageNet,1,128,1,2049.637,100.0,61.893,7910
35,mobilenet_v3_small,ImageNet,1,128,1,2319.408,mobilenet_v3_small,ImageNet,1,128,1,2317.778,100.0,47.263,6616
