,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,PPO,LunarLander,1,32,0,2.835,LSTM,Wikitext2,1,64,0,4482.608,99.224,73.655,5932
1,PPO,LunarLander,1,32,0,3.842,LSTM,Wikitext2,1,64,1,4388.145,68.274,50.935,5798
2,PPO,LunarLander,1,32,0,3.522,LSTM,Wikitext2,1,128,0,3855.995,64.134,47.776,7664
3,PPO,LunarLander,1,32,0,3.744,LSTM,Wikitext2,1,128,1,4145.741,55.969,42.672,7368
4,PPO,LunarLander,1,64,0,8.327,LSTM,Wikitext2,1,64,0,4438.895,100.0,74.035,5932
5,PPO,LunarLander,1,64,0,10.572,LSTM,Wikitext2,1,64,1,4522.53,75.759,58.0,5798
6,PPO,LunarLander,1,64,0,10.082,LSTM,Wikitext2,1,128,0,3880.324,71.5,54.583,7664
7,PPO,LunarLander,1,64,0,12.198,LSTM,Wikitext2,1,128,1,4167.277,60.032,45.484,7368
8,PPO,LunarLander,1,128,0,21.582,LSTM,Wikitext2,1,64,0,4434.302,100.0,73.845,5932
9,PPO,LunarLander,1,128,0,29.591,LSTM,Wikitext2,1,64,1,4594.284,73.75,56.109,5798
10,PPO,LunarLander,1,128,0,25.827,LSTM,Wikitext2,1,128,0,3838.591,76.446,59.875,7664
11,PPO,LunarLander,1,128,0,31.702,LSTM,Wikitext2,1,128,1,4110.004,65.907,51.981,7368
