,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,DCGAN,LSUN,1,32,0,1736.158,DCGAN,LSUN,1,32,0,1747.407,94.13,40.403,4938
1,DCGAN,LSUN,1,32,0,1785.546,DCGAN,LSUN,1,32,1,1433.472,78.237,30.803,5210
2,DCGAN,LSUN,1,32,1,1404.557,DCGAN,LSUN,1,32,1,1347.302,54.907,22.947,6072
3,DCGAN,LSUN,1,32,0,1467.145,DCGAN,LSUN,1,64,0,2491.892,98.162,43.257,5024
4,DCGAN,LSUN,1,32,0,1695.508,DCGAN,LSUN,1,64,1,2534.059,80.324,36.068,4810
5,DCGAN,LSUN,1,32,1,1304.862,DCGAN,LSUN,1,64,0,2982.427,89.973,38.811,5886
6,DCGAN,LSUN,1,32,1,1421.302,DCGAN,LSUN,1,64,1,2811.541,70.421,29.526,5082
7,DCGAN,LSUN,1,32,0,1248.767,DCGAN,LSUN,1,128,0,3529.391,99.573,46.027,5576
8,DCGAN,LSUN,1,32,0,1798.232,DCGAN,LSUN,1,128,1,4403.234,89.187,47.027,5170
9,DCGAN,LSUN,1,32,1,909.775,DCGAN,LSUN,1,128,0,3502.037,98.541,42.27,5848
10,DCGAN,LSUN,1,32,1,1375.352,DCGAN,LSUN,1,128,1,4535.961,72.093,35.587,5442
11,DCGAN,LSUN,1,64,0,2119.447,DCGAN,LSUN,1,64,0,2009.194,98.789,38.816,5498
12,DCGAN,LSUN,1,64,0,2972.43,DCGAN,LSUN,1,64,1,1984.744,94.548,47.781,5474
13,DCGAN,LSUN,1,64,1,2647.173,DCGAN,LSUN,1,64,1,2602.247,72.164,32.973,4682
14,DCGAN,LSUN,1,64,0,1791.379,DCGAN,LSUN,1,128,0,2866.283,99.763,46.934,6024
15,DCGAN,LSUN,1,64,0,2758.937,DCGAN,LSUN,1,128,1,3516.564,96.095,48.419,5256
16,DCGAN,LSUN,1,64,1,1459.125,DCGAN,LSUN,1,128,0,2877.768,98.347,43.387,6240
17,DCGAN,LSUN,1,64,1,2348.65,DCGAN,LSUN,1,128,1,3777.699,87.568,33.676,5130
18,DCGAN,LSUN,1,128,0,2207.346,DCGAN,LSUN,1,128,0,2449.144,99.787,43.72,6214
19,DCGAN,LSUN,1,128,0,3267.727,DCGAN,LSUN,1,128,1,2922.632,98.519,50.987,5808
20,DCGAN,LSUN,1,128,1,4310.798,DCGAN,LSUN,1,128,1,4295.806,82.675,46.649,5402
