,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,1,32,0,1629.055,DCGAN,LSUN,1,32,0,1789.705,92.553,41.579,4866
1,ResNet18,CIFAR-10,1,32,0,1677.569,DCGAN,LSUN,1,32,1,1437.081,69.219,36.164,5118
2,ResNet18,CIFAR-10,1,32,1,1379.784,DCGAN,LSUN,1,32,0,1717.161,73.694,38.681,5110
3,ResNet18,CIFAR-10,1,32,1,1303.395,DCGAN,LSUN,1,32,1,1447.609,56.811,29.203,5082
4,ResNet18,CIFAR-10,1,32,0,1418.862,DCGAN,LSUN,1,64,0,2764.496,96.082,49.808,4952
5,ResNet18,CIFAR-10,1,32,0,1791.749,DCGAN,LSUN,1,64,1,2651.118,80.851,44.662,4742
6,ResNet18,CIFAR-10,1,32,1,1225.418,DCGAN,LSUN,1,64,0,3023.437,90.301,44.959,4896
7,ResNet18,CIFAR-10,1,32,1,1470.772,DCGAN,LSUN,1,64,1,2763.228,68.548,35.274,4682
8,ResNet18,CIFAR-10,1,32,0,1043.683,DCGAN,LSUN,1,128,0,3469.364,98.27,47.716,5508
9,ResNet18,CIFAR-10,1,32,0,1675.019,DCGAN,LSUN,1,128,1,4345.554,86.083,48.486,5078
10,ResNet18,CIFAR-10,1,32,1,1036.627,DCGAN,LSUN,1,128,0,3921.859,96.425,47.918,5448
11,ResNet18,CIFAR-10,1,32,1,1386.321,DCGAN,LSUN,1,128,1,4635.249,75.081,40.5,5042
12,ResNet18,CIFAR-10,1,64,0,2740.526,DCGAN,LSUN,1,32,0,1638.961,97.192,57.534,5140
13,ResNet18,CIFAR-10,1,64,0,3060.151,DCGAN,LSUN,1,32,1,1371.378,88.944,51.514,5412
14,ResNet18,CIFAR-10,1,64,1,2493.516,DCGAN,LSUN,1,32,0,1744.83,81.493,42.753,5780
15,ResNet18,CIFAR-10,1,64,1,2728.831,DCGAN,LSUN,1,32,1,1498.23,70.413,39.36,6398
16,ResNet18,CIFAR-10,1,64,0,2363.363,DCGAN,LSUN,1,64,0,2555.174,98.622,58.284,5262
17,ResNet18,CIFAR-10,1,64,0,2993.603,DCGAN,LSUN,1,64,1,2467.927,93.319,56.792,5228
18,ResNet18,CIFAR-10,1,64,1,2157.364,DCGAN,LSUN,1,64,0,2980.16,93.653,52.361,5154
19,ResNet18,CIFAR-10,1,64,1,2622.469,DCGAN,LSUN,1,64,1,2558.423,76.917,41.833,5520
20,ResNet18,CIFAR-10,1,64,0,1671.224,DCGAN,LSUN,1,128,0,3191.53,99.653,49.542,5778
21,ResNet18,CIFAR-10,1,64,0,2812.718,DCGAN,LSUN,1,128,1,3838.43,95.055,55.384,5372
22,ResNet18,CIFAR-10,1,64,1,1803.433,DCGAN,LSUN,1,128,0,3457.745,98.097,47.153,5706
23,ResNet18,CIFAR-10,1,64,1,2511.98,DCGAN,LSUN,1,128,1,4395.734,86.473,51.797,6180
24,ResNet18,CIFAR-10,1,128,0,3607.807,DCGAN,LSUN,1,32,0,1459.528,99.219,64.658,5552
25,ResNet18,CIFAR-10,1,128,0,4250.891,DCGAN,LSUN,1,32,1,1218.28,96.37,65.205,7934
26,ResNet18,CIFAR-10,1,128,1,3945.146,DCGAN,LSUN,1,32,0,1684.339,93.819,58.694,5718
27,ResNet18,CIFAR-10,1,128,1,4425.708,DCGAN,LSUN,1,32,1,1374.749,80.027,47.541,5750
28,ResNet18,CIFAR-10,1,128,0,3254.118,DCGAN,LSUN,1,64,0,2209.432,99.366,64.085,5638
29,ResNet18,CIFAR-10,1,128,0,4090.59,DCGAN,LSUN,1,64,1,2098.021,97.11,66.055,5424
30,ResNet18,CIFAR-10,1,128,1,3572.011,DCGAN,LSUN,1,64,0,2827.069,97.027,55.973,5564
31,ResNet18,CIFAR-10,1,128,1,4255.241,DCGAN,LSUN,1,64,1,2380.823,88.122,54.568,5350
32,ResNet18,CIFAR-10,1,128,0,2545.453,DCGAN,LSUN,1,128,0,2743.604,99.554,55.851,6190
33,ResNet18,CIFAR-10,1,128,0,3685.055,DCGAN,LSUN,1,128,1,3592.164,98.227,69.64,5778
34,ResNet18,CIFAR-10,1,128,1,2650.011,DCGAN,LSUN,1,128,0,3506.203,99.373,56.907,6116
35,ResNet18,CIFAR-10,1,128,1,4059.061,DCGAN,LSUN,1,128,1,4048.155,90.877,58.384,5710
36,MobileNetV2,CIFAR-10,1,32,0,903.005,DCGAN,LSUN,1,32,0,1650.035,74.986,35.945,4988
37,MobileNetV2,CIFAR-10,1,32,0,967.819,DCGAN,LSUN,1,32,1,1435.651,61.708,27.819,5260
38,MobileNetV2,CIFAR-10,1,32,1,736.533,DCGAN,LSUN,1,32,0,1870.385,77.236,28.444,5100
39,MobileNetV2,CIFAR-10,1,32,1,791.957,DCGAN,LSUN,1,32,1,1500.379,55.736,18.25,5072
40,MobileNetV2,CIFAR-10,1,32,0,899.396,DCGAN,LSUN,1,64,0,3052.782,95.181,45.875,5074
41,MobileNetV2,CIFAR-10,1,32,0,933.429,DCGAN,LSUN,1,64,1,2691.021,70.027,33.096,4860
42,MobileNetV2,CIFAR-10,1,32,1,689.583,DCGAN,LSUN,1,64,0,3044.074,88.859,38.0,4886
43,MobileNetV2,CIFAR-10,1,32,1,755.529,DCGAN,LSUN,1,64,1,2759.076,63.07,24.197,4672
44,MobileNetV2,CIFAR-10,1,32,0,677.782,DCGAN,LSUN,1,128,0,3675.948,97.069,45.208,5642
45,MobileNetV2,CIFAR-10,1,32,0,877.452,DCGAN,LSUN,1,128,1,4560.427,73.74,38.411,5220
46,MobileNetV2,CIFAR-10,1,32,1,604.411,DCGAN,LSUN,1,128,0,4086.146,95.127,42.577,5438
47,MobileNetV2,CIFAR-10,1,32,1,769.356,DCGAN,LSUN,1,128,1,4537.057,69.403,30.556,5032
48,MobileNetV2,CIFAR-10,1,64,0,1722.154,DCGAN,LSUN,1,32,0,1829.203,94.639,54.208,5460
49,MobileNetV2,CIFAR-10,1,64,0,1837.344,DCGAN,LSUN,1,32,1,1576.91,80.324,46.838,5806
50,MobileNetV2,CIFAR-10,1,64,1,1468.779,DCGAN,LSUN,1,32,0,1639.009,73.764,33.736,5040
51,MobileNetV2,CIFAR-10,1,64,1,1525.325,DCGAN,LSUN,1,32,1,1420.871,63.704,26.099,5296
52,MobileNetV2,CIFAR-10,1,64,0,1494.971,DCGAN,LSUN,1,64,0,2731.129,98.25,55.569,5616
53,MobileNetV2,CIFAR-10,1,64,0,1828.148,DCGAN,LSUN,1,64,1,2574.187,86.563,50.197,6182
54,MobileNetV2,CIFAR-10,1,64,1,1360.789,DCGAN,LSUN,1,64,0,3019.273,89.471,42.686,5112
55,MobileNetV2,CIFAR-10,1,64,1,1568.753,DCGAN,LSUN,1,64,1,2886.505,74.155,34.197,5704
56,MobileNetV2,CIFAR-10,1,64,0,1086.986,DCGAN,LSUN,1,128,0,3447.917,98.541,52.041,6300
57,MobileNetV2,CIFAR-10,1,64,0,1752.152,DCGAN,LSUN,1,128,1,4006.879,89.635,54.757,5756
58,MobileNetV2,CIFAR-10,1,64,1,1070.006,DCGAN,LSUN,1,128,0,3957.091,96.929,46.357,5638
59,MobileNetV2,CIFAR-10,1,64,1,1430.306,DCGAN,LSUN,1,128,1,4402.538,78.438,39.233,5272
60,MobileNetV2,CIFAR-10,1,128,0,2311.223,DCGAN,LSUN,1,32,0,1522.81,98.306,63.333,6494
61,MobileNetV2,CIFAR-10,1,128,0,2879.753,DCGAN,LSUN,1,32,1,1249.098,97.625,66.528,6754
62,MobileNetV2,CIFAR-10,1,128,1,2419.75,DCGAN,LSUN,1,32,0,1822.002,88.686,46.886,5504
63,MobileNetV2,CIFAR-10,1,128,1,2572.322,DCGAN,LSUN,1,32,1,1551.83,76.465,39.775,5754
64,MobileNetV2,CIFAR-10,1,128,0,2016.145,DCGAN,LSUN,1,64,0,2411.026,98.622,62.689,6652
