,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,NeuMF-pre,MovieLens,1,64,0,14927.035,resnet50,ImageNet,1,32,0,430.88,100.0,81.824,7592
1,NeuMF-pre,MovieLens,1,64,0,15115.285,resnet50,ImageNet,1,32,1,683.739,91.722,67.778,5910
2,NeuMF-pre,MovieLens,1,64,1,12750.548,resnet50,ImageNet,1,32,0,417.974,100.0,78.765,7592
3,NeuMF-pre,MovieLens,1,64,1,11760.156,resnet50,ImageNet,1,32,1,678.613,94.211,66.789,5910
4,NeuMF-pre,MovieLens,1,128,0,32054.362,resnet50,ImageNet,1,32,0,420.205,100.0,80.5,7592
5,NeuMF-pre,MovieLens,1,128,0,41546.784,resnet50,ImageNet,1,32,1,682.616,98.895,73.263,5912
6,NeuMF-pre,MovieLens,1,128,1,25955.869,resnet50,ImageNet,1,32,0,420.11,98.778,78.222,7590
7,NeuMF-pre,MovieLens,1,128,1,23117.62,resnet50,ImageNet,1,32,1,672.852,91.316,66.158,5910
8,NeuMF-pre,MovieLens,1,64,0,14194.039,mobilenet_v3_small,ImageNet,1,32,0,1547.144,51.789,21.579,4766
9,NeuMF-pre,MovieLens,1,64,0,14379.87,mobilenet_v3_small,ImageNet,1,32,1,1038.347,36.765,9.471,4454
10,NeuMF-pre,MovieLens,1,64,1,11678.932,mobilenet_v3_small,ImageNet,1,32,0,1546.536,47.778,20.222,4766
11,NeuMF-pre,MovieLens,1,64,1,11788.678,mobilenet_v3_small,ImageNet,1,32,1,1008.415,37.235,9.529,4454
12,NeuMF-pre,MovieLens,1,64,0,15485.462,mobilenet_v3_small,ImageNet,1,64,0,2893.166,77.444,40.556,5338
13,NeuMF-pre,MovieLens,1,64,0,16792.829,mobilenet_v3_small,ImageNet,1,64,1,1987.947,58.789,20.684,4778
14,NeuMF-pre,MovieLens,1,64,1,12381.829,mobilenet_v3_small,ImageNet,1,64,0,2912.489,76.588,40.706,5338
15,NeuMF-pre,MovieLens,1,64,1,11758.928,mobilenet_v3_small,ImageNet,1,64,1,1965.482,54.778,19.5,4778
16,NeuMF-pre,MovieLens,1,64,0,14321.076,mobilenet_v3_small,ImageNet,1,128,0,3314.962,89.789,55.474,6500
17,NeuMF-pre,MovieLens,1,64,0,15456.91,mobilenet_v3_small,ImageNet,1,128,1,3659.124,81.5,34.667,5288
18,NeuMF-pre,MovieLens,1,64,1,10472.589,mobilenet_v3_small,ImageNet,1,128,0,3346.399,97.267,59.867,6500
19,NeuMF-pre,MovieLens,1,64,1,13069.695,mobilenet_v3_small,ImageNet,1,128,1,3697.234,86.471,36.471,5348
20,NeuMF-pre,MovieLens,1,128,0,28904.974,mobilenet_v3_small,ImageNet,1,32,0,1511.948,48.0,20.529,4766
21,NeuMF-pre,MovieLens,1,128,0,30444.674,mobilenet_v3_small,ImageNet,1,32,1,1002.889,37.474,9.789,4454
22,NeuMF-pre,MovieLens,1,128,1,23415.36,mobilenet_v3_small,ImageNet,1,32,0,1503.077,48.947,21.0,4766
23,NeuMF-pre,MovieLens,1,128,1,26037.229,mobilenet_v3_small,ImageNet,1,32,1,1036.182,37.889,9.944,4454
24,NeuMF-pre,MovieLens,1,128,0,23425.038,mobilenet_v3_small,ImageNet,1,64,0,2894.8,77.368,41.0,5338
25,NeuMF-pre,MovieLens,1,128,0,28644.565,mobilenet_v3_small,ImageNet,1,64,1,1961.482,57.556,19.5,4778
26,NeuMF-pre,MovieLens,1,128,1,23007.973,mobilenet_v3_small,ImageNet,1,64,0,2873.485,75.062,40.812,5338
27,NeuMF-pre,MovieLens,1,128,1,24194.581,mobilenet_v3_small,ImageNet,1,64,1,1955.022,53.737,18.684,4778
28,NeuMF-pre,MovieLens,1,128,0,29995.297,mobilenet_v3_small,ImageNet,1,128,0,3332.406,94.176,58.176,6500
29,NeuMF-pre,MovieLens,1,128,0,33297.818,mobilenet_v3_small,ImageNet,1,128,1,3697.079,85.833,36.389,5288
30,NeuMF-pre,MovieLens,1,128,1,21664.428,mobilenet_v3_small,ImageNet,1,128,0,3339.894,93.312,57.375,6500
31,NeuMF-pre,MovieLens,1,128,1,21582.102,mobilenet_v3_small,ImageNet,1,128,1,3626.233,78.941,33.059,5288
