,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,410.824,TD3,BipedalWalker,1,32,0,32.576,73.426,50.603,7574
1,resnet50,ImageNet,1,32,1,678.305,TD3,BipedalWalker,1,32,0,31.234,98.725,70.039,5896
2,resnet50,ImageNet,1,32,0,415.456,TD3,BipedalWalker,1,64,0,41.319,97.737,76.062,7574
3,resnet50,ImageNet,1,32,1,662.168,TD3,BipedalWalker,1,64,0,79.623,75.356,50.625,5896
4,resnet50,ImageNet,1,32,0,417.584,TD3,BipedalWalker,1,128,0,176.653,99.597,77.104,7496
5,resnet50,ImageNet,1,32,1,676.556,TD3,BipedalWalker,1,128,0,64.891,65.883,43.455,5954
6,mobilenet_v3_small,ImageNet,1,32,0,1189.704,TD3,BipedalWalker,1,32,0,41.04,45.067,16.719,4750
7,mobilenet_v3_small,ImageNet,1,32,1,930.636,TD3,BipedalWalker,1,32,0,31.07,38.346,7.642,4438
8,mobilenet_v3_small,ImageNet,1,32,0,1257.018,TD3,BipedalWalker,1,64,0,22.116,35.48,11.693,4750
9,mobilenet_v3_small,ImageNet,1,32,1,981.675,TD3,BipedalWalker,1,64,0,115.647,40.16,8.12,4404
10,mobilenet_v3_small,ImageNet,1,32,0,1372.769,TD3,BipedalWalker,1,128,0,102.682,56.608,22.365,4750
11,mobilenet_v3_small,ImageNet,1,32,1,937.834,TD3,BipedalWalker,1,128,0,152.344,39.724,8.197,4438
12,mobilenet_v3_small,ImageNet,1,64,0,2602.253,TD3,BipedalWalker,1,32,0,4.28,63.985,30.761,5322
13,mobilenet_v3_small,ImageNet,1,64,1,1907.764,TD3,BipedalWalker,1,32,0,15.545,46.027,13.123,4762
14,mobilenet_v3_small,ImageNet,1,64,0,2599.142,TD3,BipedalWalker,1,64,0,25.397,80.0,41.13,5322
15,mobilenet_v3_small,ImageNet,1,64,1,1972.91,TD3,BipedalWalker,1,64,0,141.376,60.407,18.648,4762
16,mobilenet_v3_small,ImageNet,1,64,0,2203.022,TD3,BipedalWalker,1,128,0,72.508,71.353,35.376,5322
17,mobilenet_v3_small,ImageNet,1,64,1,1922.34,TD3,BipedalWalker,1,128,0,59.174,61.468,18.772,4762
18,mobilenet_v3_small,ImageNet,1,128,0,3276.761,TD3,BipedalWalker,1,32,0,8.862,66.72,36.733,6484
19,mobilenet_v3_small,ImageNet,1,128,1,3738.329,TD3,BipedalWalker,1,32,0,8.757,75.343,29.045,5272
20,mobilenet_v3_small,ImageNet,1,128,0,3279.322,TD3,BipedalWalker,1,64,0,41.862,100.0,59.913,6484
21,mobilenet_v3_small,ImageNet,1,128,1,3537.824,TD3,BipedalWalker,1,64,0,58.234,78.08,30.96,5272
22,mobilenet_v3_small,ImageNet,1,128,0,3316.529,TD3,BipedalWalker,1,128,0,240.25,95.38,57.46,6484
23,mobilenet_v3_small,ImageNet,1,128,1,3351.787,TD3,BipedalWalker,1,128,0,54.819,53.868,19.197,5272
