,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,1,32,0,1983.745,TD3,BipedalWalker,1,32,0,13.739,44.184,19.303,4416
1,ResNet18,CIFAR-10,1,32,1,1521.64,TD3,BipedalWalker,1,32,0,42.538,31.2,11.5,4386
2,ResNet18,CIFAR-10,1,32,0,1951.574,TD3,BipedalWalker,1,64,0,28.192,52.463,25.074,4422
3,ResNet18,CIFAR-10,1,32,1,1519.762,TD3,BipedalWalker,1,64,0,17.329,42.167,17.474,4386
4,ResNet18,CIFAR-10,1,32,0,1840.477,TD3,BipedalWalker,1,128,0,20.634,56.378,27.797,4416
5,ResNet18,CIFAR-10,1,32,1,1462.071,TD3,BipedalWalker,1,128,0,221.935,38.314,15.51,4386
6,ResNet18,CIFAR-10,1,64,0,3510.022,TD3,BipedalWalker,1,32,0,38.046,82.716,51.716,4716
7,ResNet18,CIFAR-10,1,64,1,3221.212,TD3,BipedalWalker,1,32,0,10.607,39.605,16.111,5700
8,ResNet18,CIFAR-10,1,64,0,3314.85,TD3,BipedalWalker,1,64,0,7.472,76.158,48.053,4716
9,ResNet18,CIFAR-10,1,64,1,3024.851,TD3,BipedalWalker,1,64,0,117.861,51.04,23.36,5700
10,ResNet18,CIFAR-10,1,64,0,3507.588,TD3,BipedalWalker,1,128,0,39.346,57.506,31.753,4716
11,ResNet18,CIFAR-10,1,64,1,2958.784,TD3,BipedalWalker,1,128,0,50.475,38.453,16.373,5698
12,ResNet18,CIFAR-10,1,128,0,4852.422,TD3,BipedalWalker,1,32,0,14.565,87.036,58.771,5128
13,ResNet18,CIFAR-10,1,128,1,4777.008,TD3,BipedalWalker,1,32,0,27.808,68.107,36.547,6092
14,ResNet18,CIFAR-10,1,128,0,4862.253,TD3,BipedalWalker,1,64,0,40.761,79.286,52.411,7238
15,ResNet18,CIFAR-10,1,128,1,5120.478,TD3,BipedalWalker,1,64,0,27.956,61.404,33.128,6092
16,ResNet18,CIFAR-10,1,128,0,4837.333,TD3,BipedalWalker,1,128,0,284.755,94.147,64.747,5128
17,ResNet18,CIFAR-10,1,128,1,5094.495,TD3,BipedalWalker,1,128,0,33.405,51.513,27.359,6092
18,MobileNetV2,CIFAR-10,1,32,0,1008.993,TD3,BipedalWalker,1,32,0,26.677,32.94,9.393,4564
