,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,LSTM,Wikitext2,1,64,0,2465.593,LSTM,Wikitext2,1,64,0,2465.046,100.0,83.679,7790
1,LSTM,Wikitext2,1,64,0,2843.168,LSTM,Wikitext2,1,64,1,2842.065,100.0,86.491,7656
2,LSTM,Wikitext2,1,64,1,2812.048,LSTM,Wikitext2,1,64,1,2809.26,86.132,75.547,7522
3,LSTM,Wikitext2,1,64,0,2299.166,LSTM,Wikitext2,1,128,0,2811.264,100.0,85.167,9522
4,LSTM,Wikitext2,1,64,0,2422.407,LSTM,Wikitext2,1,128,1,3600.298,100.0,87.216,9226
5,LSTM,Wikitext2,1,64,1,2502.124,LSTM,Wikitext2,1,128,0,3013.65,94.388,83.102,9388
6,LSTM,Wikitext2,1,64,1,2687.248,LSTM,Wikitext2,1,128,1,3654.257,92.5,82.68,9092
7,LSTM,Wikitext2,1,128,0,2393.216,LSTM,Wikitext2,1,128,0,2394.737,89.979,78.702,11254
8,LSTM,Wikitext2,1,128,0,2638.476,LSTM,Wikitext2,1,128,1,2779.205,88.729,78.792,10958
9,LSTM,Wikitext2,1,128,1,3585.89,LSTM,Wikitext2,1,128,1,3583.783,100.0,91.686,10662
