,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,resnet50,ImageNet,1,32,0,319.856,ResNet18,CIFAR-10,1,32,0,1059.704,100.0,77.724,7928
1,resnet50,ImageNet,1,32,0,345.703,ResNet18,CIFAR-10,1,32,1,1017.431,100.0,79.592,7872
2,resnet50,ImageNet,1,32,1,482.325,ResNet18,CIFAR-10,1,32,0,1467.77,99.789,71.342,6252
3,resnet50,ImageNet,1,32,1,557.887,ResNet18,CIFAR-10,1,32,1,1286.493,99.162,76.27,6190
4,resnet50,ImageNet,1,32,0,286.255,ResNet18,CIFAR-10,1,64,0,1693.759,100.0,77.0,8200
5,resnet50,ImageNet,1,32,0,341.641,ResNet18,CIFAR-10,1,64,1,1724.827,100.0,80.688,9030
6,resnet50,ImageNet,1,32,1,415.861,ResNet18,CIFAR-10,1,64,0,2291.611,99.947,71.747,6520
7,resnet50,ImageNet,1,32,1,526.965,ResNet18,CIFAR-10,1,64,1,2218.872,99.486,77.108,7562
8,resnet50,ImageNet,1,32,0,260.604,ResNet18,CIFAR-10,1,128,0,2483.258,100.0,78.176,8592
9,resnet50,ImageNet,1,32,0,315.834,ResNet18,CIFAR-10,1,128,1,2667.899,100.0,83.84,8538
10,resnet50,ImageNet,1,32,1,343.944,ResNet18,CIFAR-10,1,128,0,3184.25,99.895,75.342,6932
11,resnet50,ImageNet,1,32,1,454.454,ResNet18,CIFAR-10,1,128,1,3506.294,99.827,77.92,7898
12,resnet50,ImageNet,1,32,0,358.872,MobileNetV2,CIFAR-10,1,32,0,711.336,100.0,80.667,8048
13,resnet50,ImageNet,1,32,0,381.882,MobileNetV2,CIFAR-10,1,32,1,622.372,100.0,78.908,7862
14,resnet50,ImageNet,1,32,1,555.653,MobileNetV2,CIFAR-10,1,32,0,881.168,99.514,73.875,6428
15,resnet50,ImageNet,1,32,1,619.182,MobileNetV2,CIFAR-10,1,32,1,794.504,99.747,72.827,6180
16,resnet50,ImageNet,1,32,0,324.634,MobileNetV2,CIFAR-10,1,64,0,1062.335,100.0,80.36,8476
17,resnet50,ImageNet,1,32,0,360.345,MobileNetV2,CIFAR-10,1,64,1,1069.798,100.0,80.356,8082
18,resnet50,ImageNet,1,32,1,480.819,MobileNetV2,CIFAR-10,1,64,0,1461.209,99.973,77.147,6822
19,resnet50,ImageNet,1,32,1,564.068,MobileNetV2,CIFAR-10,1,64,1,1306.842,99.268,72.38,6412
20,resnet50,ImageNet,1,32,0,272.016,MobileNetV2,CIFAR-10,1,128,0,1612.747,100.0,83.149,9636
21,resnet50,ImageNet,1,32,0,327.362,MobileNetV2,CIFAR-10,1,128,1,1627.589,100.0,78.353,8548
22,resnet50,ImageNet,1,32,1,365.455,MobileNetV2,CIFAR-10,1,128,0,1988.269,99.986,76.892,7966
23,resnet50,ImageNet,1,32,1,500.381,MobileNetV2,CIFAR-10,1,128,1,2102.497,99.971,73.779,6846
24,resnet50,ImageNet,1,32,0,392.928,EfficientNetB0,CIFAR-10,1,32,0,680.17,100.0,74.667,7848
25,resnet50,ImageNet,1,32,0,402.524,EfficientNetB0,CIFAR-10,1,32,1,580.475,100.0,77.164,7716
26,resnet50,ImageNet,1,32,1,640.719,EfficientNetB0,CIFAR-10,1,32,0,862.289,99.434,70.526,6228
27,resnet50,ImageNet,1,32,1,642.816,EfficientNetB0,CIFAR-10,1,32,1,636.089,98.247,68.315,6096
28,resnet50,ImageNet,1,32,0,379.688,EfficientNetB0,CIFAR-10,1,64,0,1239.031,100.0,78.467,8306
29,resnet50,ImageNet,1,32,0,395.982,EfficientNetB0,CIFAR-10,1,64,1,1043.13,100.0,78.96,7830
30,resnet50,ImageNet,1,32,1,593.088,EfficientNetB0,CIFAR-10,1,64,0,1491.506,99.307,68.373,6612
31,resnet50,ImageNet,1,32,1,626.961,EfficientNetB0,CIFAR-10,1,64,1,1232.937,97.918,69.699,6152
32,resnet50,ImageNet,1,32,0,359.726,EfficientNetB0,CIFAR-10,1,128,0,2008.034,100.0,78.467,8120
33,resnet50,ImageNet,1,32,0,376.199,EfficientNetB0,CIFAR-10,1,128,1,1813.07,100.0,75.806,7898
34,resnet50,ImageNet,1,32,1,537.158,EfficientNetB0,CIFAR-10,1,128,0,2613.302,99.74,70.932,8102
35,resnet50,ImageNet,1,32,1,587.241,EfficientNetB0,CIFAR-10,1,128,1,2287.734,98.548,68.767,7814
36,resnet50,ImageNet,1,32,0,343.898,VGG,CIFAR-10,1,32,0,2362.734,100.0,82.382,8926
37,resnet50,ImageNet,1,32,0,365.251,VGG,CIFAR-10,1,32,1,1919.251,100.0,84.195,8302
38,resnet50,ImageNet,1,32,1,534.037,VGG,CIFAR-10,1,32,0,2857.863,99.16,75.533,7246
39,resnet50,ImageNet,1,32,1,580.024,VGG,CIFAR-10,1,32,1,2371.719,98.04,75.88,6622
40,resnet50,ImageNet,1,32,0,329.383,VGG,CIFAR-10,1,64,0,3855.511,100.0,80.684,9124
41,resnet50,ImageNet,1,32,0,346.393,VGG,CIFAR-10,1,64,1,3402.293,100.0,82.961,9130
42,resnet50,ImageNet,1,32,1,512.147,VGG,CIFAR-10,1,64,0,4980.613,99.311,75.797,7446
43,resnet50,ImageNet,1,32,1,569.829,VGG,CIFAR-10,1,64,1,4012.162,98.595,74.5,7496
44,resnet50,ImageNet,1,32,0,310.81,VGG,CIFAR-10,1,128,0,5798.251,100.0,81.882,9530
45,resnet50,ImageNet,1,32,0,328.226,VGG,CIFAR-10,1,128,1,5530.723,100.0,80.662,9324
46,resnet50,ImageNet,1,32,1,454.247,VGG,CIFAR-10,1,128,0,8085.061,99.568,76.419,7852
47,resnet50,ImageNet,1,32,1,524.282,VGG,CIFAR-10,1,128,1,6911.314,99.027,75.392,6528
48,mobilenet_v3_small,ImageNet,1,32,0,1190.307,ResNet18,CIFAR-10,1,32,0,1691.435,85.342,47.027,5082
49,mobilenet_v3_small,ImageNet,1,32,0,1138.803,ResNet18,CIFAR-10,1,32,1,1357.523,70.108,32.405,5046
50,mobilenet_v3_small,ImageNet,1,32,1,943.346,ResNet18,CIFAR-10,1,32,0,1861.24,79.147,35.293,4730
51,mobilenet_v3_small,ImageNet,1,32,1,923.461,ResNet18,CIFAR-10,1,32,1,1418.325,58.892,25.365,4734
52,mobilenet_v3_small,ImageNet,1,32,0,1104.928,ResNet18,CIFAR-10,1,64,0,2739.206,96.233,57.397,5704
53,mobilenet_v3_small,ImageNet,1,32,0,1083.721,ResNet18,CIFAR-10,1,64,1,2632.702,76.055,47.329,6362
54,mobilenet_v3_small,ImageNet,1,32,1,899.341,ResNet18,CIFAR-10,1,64,0,3124.177,89.635,48.365,5116
55,mobilenet_v3_small,ImageNet,1,32,1,932.866,ResNet18,CIFAR-10,1,64,1,2872.828,70.493,33.413,6046
56,mobilenet_v3_small,ImageNet,1,32,0,947.421,ResNet18,CIFAR-10,1,128,0,3639.131,98.827,60.56,5934
57,mobilenet_v3_small,ImageNet,1,32,0,1125.053,ResNet18,CIFAR-10,1,128,1,4294.498,87.778,56.875,6580
58,mobilenet_v3_small,ImageNet,1,32,1,919.267,ResNet18,CIFAR-10,1,128,0,4193.428,98.787,67.187,6786
59,mobilenet_v3_small,ImageNet,1,32,1,931.178,ResNet18,CIFAR-10,1,128,1,4625.134,85.878,46.77,5640
60,mobilenet_v3_small,ImageNet,1,64,0,1993.788,ResNet18,CIFAR-10,1,32,0,1581.491,99.987,60.026,5654
