,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,VGG,CIFAR-10,1,32,0,2966.966,PPO,LunarLander,1,32,0,5.252,38.329,16.371,5466
1,VGG,CIFAR-10,1,32,1,2464.56,PPO,LunarLander,1,32,0,4.931,30.662,9.649,4842
2,VGG,CIFAR-10,1,32,0,3035.596,PPO,LunarLander,1,64,0,14.303,41.868,17.412,5466
3,VGG,CIFAR-10,1,32,1,2665.644,PPO,LunarLander,1,64,0,14.442,33.064,11.385,4842
4,VGG,CIFAR-10,1,32,0,3073.378,PPO,LunarLander,1,128,0,39.467,41.156,18.429,5466
5,VGG,CIFAR-10,1,32,1,2580.719,PPO,LunarLander,1,128,0,37.097,35.471,12.814,4842
6,VGG,CIFAR-10,1,64,0,5827.357,PPO,LunarLander,1,32,0,5.072,45.054,23.176,5664
7,VGG,CIFAR-10,1,64,1,4915.676,PPO,LunarLander,1,32,0,5.199,37.89,15.151,5668
8,VGG,CIFAR-10,1,64,0,5332.79,PPO,LunarLander,1,64,0,14.66,44.584,22.481,5664
9,VGG,CIFAR-10,1,64,1,4840.33,PPO,LunarLander,1,64,0,14.915,36.737,14.026,5668
10,VGG,CIFAR-10,1,64,0,6878.477,PPO,LunarLander,1,128,0,44.989,58.936,32.038,5664
11,VGG,CIFAR-10,1,64,1,4784.1,PPO,LunarLander,1,128,0,37.497,39.377,15.449,5668
12,VGG,CIFAR-10,1,128,0,7366.466,PPO,LunarLander,1,32,0,5.347,46.181,25.306,6070
13,VGG,CIFAR-10,1,128,1,6880.112,PPO,LunarLander,1,32,0,5.273,37.521,15.592,5860
14,VGG,CIFAR-10,1,128,0,7497.834,PPO,LunarLander,1,64,0,15.893,49.243,27.622,6070
15,VGG,CIFAR-10,1,128,1,7392.834,PPO,LunarLander,1,64,0,15.86,43.729,19.786,4746
16,VGG,CIFAR-10,1,128,0,7413.968,PPO,LunarLander,1,128,0,38.407,46.538,25.363,6070
17,VGG,CIFAR-10,1,128,1,7485.226,PPO,LunarLander,1,128,0,42.638,45.141,20.704,4746
