model,batchsize,single_s,co2_s1,co2_s2,co3_s1,co3_s2,co3_s3
ResNet18,64,1,0.648,0.652,0.431,0.462,0.452
ResNet18,32,1,0.949,0.972,0.772,0.774,0.78
